d20014c6f5	75626	সেখানে শ্রীলঙ্কাকে হারিয়ে
d2002a725a	2695f	জগতের পালক ও রক্ষাকর্তা
d2008fcea8	4fc91	সন্তোষ প্রকাশ করেছেন সিইসি
d200c08663	8c07c	তার মধ্যে গণিত বই থাকে না
d201110080	84145	অনুদান হিসেবে বরাদ্দ দিয়েছেন
d202193f46	509f6	আমরা তেমন কোনো প্রচার চালাইনি
d20239b47a	47e8d	না করতে পেরে
d202b466f6	c0d65	সবচেয়ে বড় চালান বলে
d2030f1bc3	0d9f1	বিস্তর অসামরিক নিরস্ত্র মানুষকে
d203449294	b5fdc	দেশের দ্রুততম মানবী হয়েছেন
d2037ec76c	4bede	নাভি
d203852746	aab0f	ই-সিগারেটে
d20388fcd4	77f82	পেঁয়াজকুচি,মাংস
d203a87133	a1201	নির্ঘুম চোখ জানালায়
d203efedc4	eecdd	ঘোড়ার ডিম
d204377103	f143a	১৯৭১ বন্ধুর মুখ
d2066b005c	ce180	একরামুল হত্যা
d2089eddb1	52578	এবার এ অঞ্চলে সরিষার
d208a2495f	f837a	ঢাকার বিভিন্ন শ্রেনী-পেশার
d20924a7e5	9092b	আরব আমিরাতসহ
d209764e3e	dba43	এ ঘটনায় নিখোঁজের সংখ্যা
d20995ae37	80be1	দিনের নামকরণ
d2099ed239	15a75	নতুন অধিকার
d2099fcd9a	14816	মোহাম্মদ আলী জিন্নাহর
d209aeec84	b8ed8	ট্রাইব্যুনাল ন্যায়সংগত আচরণ করেনি
d20a2354ce	2bc73	ইলিয়াস ভাই
d20a2992d5	db735	দাঁড়াতে চেয়েছিলাম
d20a5f628c	75936	স্মরণশক্তি বাড়ানোর জন্য
d20a76a858	77f82	জরুরী উদ্ধারকারীরা
d20bb175bd	c3cb3	কৃষি সংবাদ
d20be3ada0	420df	দু’মাসের মধ্যে
d20be5c062	95907	সীমানা ছাড়া করতে গিয়ে
d20c67b24b	cb627	গিলক্রিস্ট একজন আক্রমণাত্মক
d20cd5f36c	13b6a	৫ জন সেলিব্রিটি
d20cd99c4a	49543	বাংলাদেশী সমাজে যাদের অনেকটা
d20dba85be	e9589	মাথা তুলে দাঁড়িয়েছে
