0d0013bb6c	2695f	সাদা শক্ত নুনের মতো
0d0065b0e2	509f6	এ কথা প্রকাশ হইল
0d00ca8841	cb1aa	সন্ধ্যায় রেডিও, টিভিতে জাতির উদ্দেশ্যে ভাষণে প্রধান নির্বাচন কমিশনার কাজী রকিবউদ্দিন আহমেদ নির্বাচনের তফসিল ঘোষণা করেন।
0d00d86db3	14d25	অনেক উপকার পাবেন
0d0109c5aa	0e637	কী করতেন আপনি
0d01193e29	f0f95	মৃত্যুদন্ডাদেশ হয়
0d012dce5b	65e30	আহ্লাদে গড়িয়ে পড়ছে
0d015ae1e7	d2294	কারণ বের হইতে গেলে
0d01b293b7	b9122	তাঁর স্বভাবের রোমান্টিকতা
0d01e9d6d4	1a2a1	রেখে দিয়েছি
0d0225e8ce	cb627	২ পয়েন্ট বৃদ্ধি পেয়ে
0d02e764df	59c73	মাধ্যমিক রেজাল্ট
0d03253c11	e03fc	নিজেদের প্রেমের
0d03392897	e3d8b	এটা শুধু তারেক রহমানের
0d0353f82f	46d49	একাত্তর ও তার যুদ্ধোত্তর ফয়েজ
0d0356ee30	db181	বিক্রি হচ্ছে ১২৫ টাকায়
0d03e25ee6	4fc91	সময়ের বিবর্তনে সেই দিনটি
0d042ab825	e3f89	ছিলেন একজন আইরিশ মহিলা
0d046d9b6f	b52ab	পুলিশ তাকে গ্রেপ্তার করে
0d0486e626	c958a	কোন ধরনের সাহিত্য
0d04fd7b85	11bd2	তাহাদের স্পর্শ করিয়া
0d05791aef	ca831	কোনমতে সেটাকে
0d05b629ac	967fd	পাবনাতেই তার
0d05ec8bde	75936	কোন সমস্যা হবে না
0d0608bda4	ce629	কলহারিন্তরাতার পালা শেষ
0d065d535a	eecdd	বসন্তের দাগ-মুখ
0d07437ad9	a699c	পত্রপত্রিকায় লেখালেখি করে
0d07cd5cb7	f9dfb	এখন আমার আব্বু
0d08207ab5	e00db	পরনিন্দা, কটুবাক্য
0d084ba6de	84145	একে অপরের কাছ থেকে
0d0887f74e	3f493	ছাড়িয়ে গেছে
0d0930ffd7	3fae0	ব্যারিস্টার আমিরুল ইসলাম বলেন
0d09d0d8e3	d136b	আহত হয়েছে
0d0a3ddb44	8845d	দেশাল
0d0a6b11a8	efc0d	এই যে দেখ
0d0a6e8595	52578	দ্বারা সিয়াচেন হিমবাহ
0d0a7dc1bb	d8c80	যৌক্তিকতা নিয়ে মামলা হয়েছে
0d0a7e6c4a	a06a1	নিহতদের সবাই বেসামরিক নাগরিক।
0d0ad737c3	6da0a	বিশ্বে ডেইরি পণ্যের
0d0b2f242c	eaa7a	ক্যানন ইওএস ৬০০ডি ক্যামেরা
0d0bb4dcd1	cfc65	জানতে চাওয়া হয়
0d0bda88d1	1e7c7	একান্তই ব্যক্তিগত আলাপচারিতা
0d0c0768a5	6aac8	তুর্কি সাহিত্য কীর্তি
0d0c613842	d5f7b	পরীক্ষার পর
0d0c74a429	3c897	ইয়েমেন দুবছর ধরে
0d0ce18ab4	c3cca	নিরাপত্তা জোরদার করার কথা বললে
0d0ceef12f	9d46f	বামহাতি ব্যাটিং
0d0d7aa231	8143b	প্রায় বিশ লক্ষ লোককে
0d0d7c4e34	47e8d	এবারই প্রথম আসেনি
0d0da86aef	7027a	আমাদের মধ্যে সবসময় ছিলেন
0d0dc050e2	321b6	সাথে সংযুক্ত
0d0dd7888d	4fc91	আমির-হিরানি জুটির
0d0e1ab6d1	c958a	ইস্কুল কামাই করে
0d0f3e440a	09b32	পত্রিকা
0d0fdf376d	717bb	পলাতক হিসাবে দেখিয়ে
0d10771ced	e03fc	অ্যাকোয়ারিয়াম, জলচর প্রাণী
0d10b2ad2c	d9817	কয়েক দিনের মাথায়
0d10dc546c	1b359	ক্যানসারে মরছি
0d10fc6687	69d9a	প্রশাসনের নিয়ন্ত্রণে আনা হয়েছে
0d1150de97	93bf3	বেশ কিছু সেতু
0d11b4e647	29bab	কোন স্থানে না কোন স্থানে
0d11b6a821	fda1a	পাঠকের সংখ্যা বাড়াতে
0d11e50f78	06736	পুরুষদের মাথার চাঁদি থেকে
0d11f99e3f	0e637	পোকা
0d124e1d5e	fd880	তিন মাস ধরে
0d12764891	cc18a	সুবিধা যাদের লক্ষ্য
0d12abe168	75626	দাঁড়িয়ে রইলেন
0d12b16043	e6e48	জয়দেবপুর সংগ্রাম পরিষদের
0d133c6f8c	520fb	তারা খানিক কথাবার্তার পর
0d14ddd2b2	5dd61	তাকে করা যাবে না
0d14dfda22	778c0	সব উন্নয়নের পূর্বশর্ত
0d1507e4d5	64092	শুরু করেন তারা
0d151bb41f	2c9c5	আমাদের শিল্পের জন্য
0d15b3c147	b9b98	এটা শুধু তারেক রহমানের
0d1601b7bb	c3cb3	হতে যাচ্ছেন
0d163d8f87	49543	দেশেই তৈরি হচ্ছে
0d168b8df6	cf82a	বাংলাদেশেও একই অবস্থা
0d16adb8ca	7d004	সরকারী দল চাইছে
0d175773e3	2ecf8	কুড়িগ্রাম, দিনাজপুর এবং ঠাকুরগাঁ জেলায়
0d18201535	9065c	আবাসিক ভবনের মালিকরা
0d182ecdec	491a5	আগ্রাবাদ, চট্টগ্রামের প্রধান বাণিজ্যিক এলাকা
0d18441380	23291	দলকে জয় এনে দেয়া
0d186a2979	c6848	প্রধানত দুধের সমন্বয়ে
0d19d5c4b6	767ff	সাইফুল হকের চুক্তির মেয়াদ
0d19e73c6d	5cb47	সে অঞ্চলের
0d1a31d8d3	d0c70	জারি ছিল কারফিউ
0d1a5ae9fc	4a67e	যে তারা যুক্তরাষ্ট্রের
0d1ab2214f	16a17	পাত্রীর বান্ধবীরা কন্যার বাড়িতে
0d1ac78e47	3faff	পাশাপাশি তারা
0d1aee9ad6	5639c	পরিবারের ভরণ-পোষণ
0d1af7a5e9	ad69a	আমি বরই গাছের তলে
0d1b579512	2d98b	অবমুক্ত হলো
0d1b5a8594	b2a62	আগামী সোমবার
0d1b6df567	bd576	যখন কোনো গতিকে
0d1badad10	7898e	থানায় মামলা নেয়নি পুলিশ
0d1c0b34c8	1c618	বুঝতে বুঝতে বড় হবার সময়
0d1c1ac4fc	7b60a	ভারতের রাষ্ট্রপতি বলেন
0d1c4e613e	65e30	মাস্টার এবং ছাত্র
0d1c9d609f	c41d8	নিউজিল্যান্ডের সেই পরিকল্পনা
0d1cc46df7	f0f95	রিপন মাঝি গুলিবিদ্ধ হয়
0d1d379a91	491a5	তিনি উপভোগ করেছেন
0d1d421987	86b1b	একজন মন্ত্রী এখানে
0d1d48da81	f2b7d	কমপক্ষে ২০টি জেলায়
0d1d502b85	616ec	চিত্রিত হইয়াছেন
0d1d5afc82	4a67e	তাঁবুর মধ্যে ঢুকল
0d1db57a56	194f5	দোহার-খেলোয়াড়েরা বলেন
0d1e23e575	ac904	যাহার চিত্তশুদ্ধি হইয়াছে
0d1e2a15ef	33aef	শ্রমিকপক্ষের অভিযোগ
0d1e35d2b5	ff0fe	৭০ শতাংশ ক্ষেত্রে
0d1e7fa427	1a2a1	বাংলাদেশ ক্রিকেট বোর্ড
0d1e813a08	2de86	দেবী অন্নপূর্ণা
0d1eb976ea	0f047	তিনটি উপন্যাস প্রকাশ করেন
0d1ecf7351	d2355	পাট
0d1eddbdf7	8edea	প্রসঙ্গে বাংলাদেশ জুট এক্সপোর্টার্স অ্যাসোসিয়েশনের
0d1f1b0c23	33814	হৃদয়ের স্পন্দনে
0d1ff0faad	e3d8b	একরামুল হক দুলাল
0d2015bb58	f0f95	ফুটবল ২০১৪
0d201ad762	967fd	চালিয়েছে এ্যাকশনএইড
0d205475d4	dae88	মানব-ছাগল ফাউন
0d20dbdccb	7b900	বারবার হবে
0d20deb1d8	fcc89	জেমি
0d218f5267	7898e	আইনী পরিবর্তনসহ
0d21a3b01b	09f0d	উত্তম ছাড়াও গ্রহণ করবে
0d225d27a4	7ec1c	পদক্ষেপ নিতে হবে
0d22906d9e	c958a	নিজের ওপর মানে
0d23eecaa7	8c07c	কামড় পড়ে নি
0d2432eea2	7e1d5	ধর্মবিশ্বাসের মধ্যে
0d24776105	c5dc8	তিনি পরে
0d24e26238	6dff5	সব সময় ঝকঝকে সাদা
