9b010005b3	4bd2c	১৫ ওভারের মাথায়
9b01a24a2f	06bb7	এতে কেউ হতাহত না হলেও
9b01cb8000	60f77	আতের তার আবিষ্কার সম্পর্কে
9b01e86ff3	121bd	4share
9b02595cb0	9351a	বিদআত
9b026be242	086dd	কী লিখছে
9b02f5ec05	eaa7a	ময়না পাখি
9b036e9714	e6d83	সাইফুল ইসলাম নামে
9b04146ee5	aab0f	এখন ধর্মান্ধতার কোথায় পৌঁছেছে
9b049a8809	43b04	দেয়ালের গায়ে সেঁটে থাকা
9b04cee474	f2b7d	হাসপাতালে মায়ের পাশে
9b04e57896	77f82	আইডাহো অন্তর্ভুক্ত হয়
9b04e6109f	80539	মামলা দায়েরের প্রস্তুতি চলছে
9b04e7a7be	43fc0	নিহত
9b055abea1	9f25e	একদিন গভীর রাতে
9b05af1377	80e98	নৌশক্তি বিস্তারে
9b0793615f	b8bf0	নমুনা সংগ্রহ করে
9b07a5fa3b	ea8fa	তাই এসব ঘটনার
9b0816b20a	3ec4d	৩ জনের মৃত্যু হয়েছে
9b082bed55	9d46f	যে শাখায়
9b0845c040	8edea	একটা মাত্র চোখ বের করে
9b0897cc17	287bd	কাজ করার জন্য
9b089bd92c	28dfc	এখন 'দ্য গোল্ডেন বয়'
9b08b406ab	6a35e	একদিকে বাবাকে নির্দোষ
9b08e5611a	52f27	রাজশাহী বিশ্ববিদ্যালয়ে পড়াশোনা করেছেন
9b093bd067	66dcd	কক্ষটির ওপরের দিকে
9b096a3144	6c17f	তখন ২০০৬ সালের কথা
9b0ac52391	46da4	বডি ম্যাসাজ
9b0af7c093	76329	মুসলিম সংখ্যাগরিষ্ঠতার অজুহাতে
9b0b56e447	32c77	ভারতে পালিয়ে আছে
9b0b7637c4	fda1a	সন্ত্রাস চলছে
9b0b944ccb	2ee04	সভ্য-সাংবাদিকতার
9b0bb5bb15	698ff	শাসিত শহর
9b0c5d25f3	16cfb	তাঁর মনে ধর্ম সম্পর্কে
9b0c5effa6	7a227	এমনকি সাময়িক প্রেমের ব্যাপারেও
9b0c84f405	43b04	গাজন প্রক্রিয়ার ফসল
9b0db3ec5a	56508	প্রথম স্থায়ী উপনিবেশ
9b0dcbde9a	b4ea7	প্রতিরোধ করার নির্দেশ দিয়েছেন রেলমন্ত্রী
9b0e0d7156	3d17c	মন খারাপ হলো
9b0e46aad5	24aed	আমার দলের নেতা-কর্মীরা
9b0e962112	16cfb	হাতে ফোঁটে মা’র
9b0ea579cc	778c0	ইরাকের শিয়া-পরিচালিত
9b0eda20a7	1de6c	বাড়তি এক লক্ষ
9b0edba7ec	82926	বৃষ্টির দিন
9b0f77b278	0b7ca	শিক্ষার্থীদের হাতে দেখা যায়
9b0f945ec8	cb1aa	মানুষের মাঝে স্বর্গ নরক
9b0fc3b0b2	ad98d	আমাদের কোনো ভাষা নেই
9b101ee4e6	0f047	অবৈধ আইভরির বিশাল মজুদের
9b1021f47a	c2082	আমেরিকার সিভিল রাইটস
9b102fbf4b	72649	বেশি বিক্রি হচ্ছে
9b1037cd8f	3bb15	ডাইবেটিস
9b1068073d	a8710	দলটির একজন নেতা
9b10f87a04	8c07c	মা বসে কোরান পড়ছিলেন ঘরে
9b1134b31b	11bd2	থেকে সৃষ্ট
9b114a328a	ba2f6	ঐ প্রতিবেদনে
9b114ecefe	39293	সাতক্ষীরা-৪ আসন থেকে
9b115ddf04	e03fc	আমান বন্দরের দক্ষিণ মুছাপুরের মিনার বাড়ি এলাকার মৃত মিছির আলীর ছেলে।
9b116348bc	ec91c	দেখেন, কেমন ফিট করে
9b119399d8	1a2a1	গুরুত্বপূর্ণ অধ্যায় এর পরিশিষ্ট
9b11cb69ac	f658d	বিটিভিতে প্রথম ‘রক্তকরবী’ নাটকে
9b1277fd79	ee7b2	এজন্য তাহারা অতিব্যস্তে
9b12822d52	590d0	এবারও তারা নির্বাচনে জয়ী হবে বলে আশা করছে।
9b12a7bd2a	f0f95	যে সমাজব্যবস্থাটি চালু ছিল
9b12b08c69	8cf95	মধ্য ইন্দো আর্য ভাষার
9b137cf3d5	b4ea7	তারা আশা করছেন
9b13c5be9c	7a227	নিজে গুছিয়ে গল্প বলতে পারি না
9b13f68530	e2c11	তাদের প্রতিবাদ-বিক্ষোভ চলবে
9b13ff5c1f	194f5	তারা এ শিল্পকে নিয়ে
9b140335af	2ac82	চাষাবাদের জন্য উত্তম
9b143ea50c	3fc9d	সেটা পুনরুদ্ধারের ক্ষীণ বাসনা থেকে
9b14dd5e6a	a46e2	সেটা গ্রহণ করার প্রক্রিয়া
9b15275d69	8ba2b	আব্দুল আউয়াল মিন্টু
9b152ac3a9	09b32	সামরিক বাহিনীর একজন জেনারেল
9b1533b92e	7d3e1	আনুষ্ঠানিকভাবে বিপিএল-এর
9b1543526a	323f1	যুক্তিতর্কে নতুন তারিখ
9b155a9a57	69449	হারায় বাংলাদেশ
9b1576fff8	9fa90	জ্যাকি স্রফের
9b159ffe33	3bb15	আমার ছিলো না
9b15bd53ab	d2faf	কাজের প্রতি
9b15e6322a	7b60a	দাম বাড়ার কারণ হিসেবে
9b15f47127	75626	গ্রামে বসেছে
9b15fa62b3	12702	আর এই প্রবনতা কি
9b167c3fca	91223	তা ৭ দিনের মধ্যে
9b16a22e1d	39dd0	বরং উল্টো পুলিশ
9b16c51320	194f5	বিধিনিষেধ আরোপ করা হয়েছে
9b16f747f1	ff0fe	ফাঁসিতে ঝুলানো হবে
9b174c2880	9351a	৫০ সেনা সহায়তা দিয়েছে
9b175a65d2	a06a1	সেই রকম হতে হয়
9b1772afc1	ef4f8	সুভাষ যোশি
9b180165bc	43199	তার প্রথম জানাযা হয়
9b1820ec3f	c41d8	যেসব দেশে
9b189fb67c	0b7ca	রজনীগন্ধা
9b18ad7478	bc81e	প্রবেশপত্র, ক্যালকুলেটর
9b193023d7	948d3	ঘাপটি মেরে থাকা স্নাইপারদের
9b194a8f3a	acb88	দ্রুত বাড়া উচিত
9b196f8593	7297e	ওই দিন সকালবেলায়
9b1980e06b	9d46f	কিছু দিব না
9b19e04496	ac0df	পৃথিবীর সবচেয়ে বড় অংশটিই
9b19fe3a9e	3f875	জোর দিতে চায় বাংলাদেশ
9b1a50f9a3	76329	এক বিশাল ঢোল
9b1ab9fbab	0f047	নারীবাদীরা বলেন
9b1acdd844	1c618	কিংস্টার ২ হাজার থেকে
9b1b2ef10b	f0f95	যাদের অধিকাংশই
9b1b7a5370	0b7ca	অভিযোগ করা হয়
9b1b9d06d1	29bab	সংক্ষিপ্তসার উপস্থাপন শুরু করেন
9b1bcdbd68	80be1	সাগর তা নিতে চাননি
9b1c273852	91223	গরম জামা কাপড় কেনার
9b1d3f66ae	355c1	ভক্তদের কাছে পীর হিসেবে
9b1d584383	e3f89	বিজয়ী হয়েছেন
9b1dbce68e	323f1	১৯২২ সালে
9b1e0cd53e	72649	বর্তমানে ছয়টি কক্ষ নিয়ে
9b1e17abda	2840e	সুমনকে পাওয়া যায়
9b1edcc9b6	80e98	মা যোগ দিতে পারলেন না
9b1f55f186	71522	তাহা পাকা ফলের মতন
9b1fa0ded3	315e9	গ্রেফতার করা হয়
9b1fee9b6f	0606d	কিশোর সলজ্জভাবে হাসিয়া বলিল
9b201d4068	86b1b	তুমুল লড়াইয়ের পর
9b204e933a	09b32	এদেশে নাকি
9b20c9ebcb	9351a	জাহাজ
9b20ce7292	8edea	কর্কট রাশির কারও সঙ্গে
9b2101406e	3bea8	এবার আপনার কম্পিউটার
9b210bd7bc	37d7e	বিবিসির ইয়োগিতা লিমায়ি
9b2124893b	3fc9d	তবে এই গ্রেপ্তারে
9b22762eef	948d3	নামাজের নিয়ম
9b2291ad12	68ab7	নতুন গৃহে প্রবেশের জন্য দিনটি মিশ্র।
9b22a6d97f	3fb17	যে ভাত খাইতে বও না
9b23192484	e00db	ভাগিনী ইদু আক্তারকে
9b2411dd21	f29bf	মারা গিয়েছে
9b246f8489	086dd	যেসব খাবার খাওয়া হচ্ছে
9b247e4475	a06a1	অস্তিত্বের গভীর অন্তর্দ্বন্দ্ব আছে
9b24acf9cb	eecdd	তিননদী পরিষদের উদ্যোগে
9b250c57ac	6fb36	গাছ চোর বলা হয়
9b2542336f	85430	ওদের ধর্মে
9b25905831	717bb	কবিতাপাঠ ও সংগীতানুষ্ঠান
9b25bab7fb	65e30	এক ব্যক্তির শাসন চলছে
9b25db8a31	2de86	যত্ন সহকারে
9b26297c06	cb1aa	মিষ্টি বিতরণ করতেও দেখা যায়
9b265406b2	2d78f	জোছনা ও জননীর গল্প
9b2690d75c	9d7bf	আর গোবর কুড়ান
9b26b7c383	91b16	এখন পর্যন্ত ৪ জনের
9b26c31b7b	239f7	ধাপে ধাপে
9b26c62911	e3f89	অধিকার তাদের রয়েছে
9b26cc0cd2	ff1c3	আহসান হাবীব
9b272e49ce	a0277	মোতায়েন করেছে
9b2770f846	7d004	এটাকে প্রথমে
9b277300b7	7e1d5	আপনারা সব সময়
9b2781dcba	2ee04	কোনো উদ্যোগ নেয়নি
9b2798c843	16877	নির্বিশেষে সর্বস্তরের
9b27be667a	eb179	এনাম মেডিক্যাল কলেজ হাসপাতালের পরিচালক
9b280993e9	3ec4d	এবারের সংলাপের
9b288ac325	b8fe1	ফ্যাক্স মারফত
9b289a9049	9f25e	সম্প্রতি দেশটির জাতীয় সংসদে
9b28aa0320	4fbd1	সরু উপত্যকা
