7800fdeaf1	29089	টেকনাফ নিয়ে যাচ্ছিলেন
7801240e9e	80be1	এবং তার আশা
780168444a	ac904	ফেস্টিভালের ওপেনিং ছবি হিসেবে
78017daf98	321b6	অরুণেশ ঘোষ
78021ba93e	5b13f	অপহরণের ঘটনা ঘটছে
7802983db1	e2ff7	দু সপ্তাহ পর
7802a05a6a	24aed	জনগণের কথা ভাবার
7802e477e7	7b60a	প্রতিদিনই জমি এবং সম্পদ
780384f365	fb4cb	রাজনৈতিক সংঘাতের আশঙ্কার মধ্যে
780392a84c	68ab7	টাকাও নিয়েছেন
780393fc99	4e900	যোগাযোগ মন্ত্রণালয় জানাচ্ছে, কাজ শুরুর চার বছরের মধ্যে মূল সেতু নির্মাণের কাজ শেষ হবে।
7803cff545	f2780	ঘুঘুর ডাকে
78040c620c	2aecc	দারিদ্রের সংখ্যা কমেছে
78055957a4	fda1a	রসকথা কহে না
78055fd2ed	80539	শেষ হবে এ মহাপুণ্যযজ্ঞ
78059e278a	9351a	পরবর্তী প্রশ্নকর্তা
7805b4ecd1	1f733	প্রলয় ধ্বংস করে দেয় বটে
7805b5ab66	f2b7d	অনেকের কাছেই পরিচিত
7805c9a4aa	1c618	ইংরেজ জাতির আগমনের পরে
7805c9b5a7	f2097	বাংলাদেশ ব্যাংকও
7805e3f05d	fdcba	এবারের আয়োজন
7806e77657	c3cca	সন্তান গর্ভে ধারণ
78076ed5b8	4237e	একজন ফাঁসির দণ্ডপ্রাপ্ত
7807a264bd	9d7bf	আন্তর্জাতিক অপরাধ ট্রাইব্যুনালে
780869c947	69449	ঝুঁকে পড়ে
7808c2a98b	e3d8b	সচকিত ভাবের নিরিখে
780990c39a	2bd99	মুখ দিয়ে বাজাতে হয়
7809d3ac0f	16877	উল্টেপাল্টে দেখলে
780a6c1567	72649	তার কোনো অবৈধ সম্পর্ক নেই
780a8242c6	ac0df	১৯৬০ দশকের
780a8a7310	dfefa	অবহিত করেছেন বৈঠকে
780a91668b	1e7c7	মাহির মতো
780ada7d09	5b13f	১৮৫৯ থেকে
780b46d48c	75f18	ফতুয়া
780badc201	323f1	বঙ্গোপসাগরের উত্তর-পূর্ব দিকে
780bed4ed9	2de86	এই জল খুব একটা
780cbbb2d0	ab946	দ্বিতীয় সিনেমা
780d0e32a7	9092b	কথাটা যে সত্য
780db8cdb9	e754e	প্রতিনিধিদলের নেতৃত্ব দেওয়ার কথা ছিল
780e891a69	b9a81	নতুন প্রেমিক-পুরুষের আশ্রয়ে
780eb51285	1e7c7	এমনই এক মিলনমেলার
780ec102db	9813c	দেশের রাজনৈতিক দলগুলো
780fb1430b	bfac7	যোগ্যতা নিয়ে দলের মধ্যে
78102b5186	11bd2	ইংল্যান্ডে কাউন্টি অভিযান শেষে
781068d33c	4a67e	শেষমেষ সবাই
7810803b2d	256f5	কিইনা তুমি একলা যাও
78109cd505	a3a6d	ফোঁপানো কান্না
7810f887dd	554fe	তার চেয়ে বেশি উচ্চতার হলে
7811703836	2ad74	কিন্তু এটাকে অসম্ভব কিছু বলে
7812486b33	dafb6	প্রান্তিক আয়
7812bf06b9	0895a	মাহবুব তাতে ফের
