c300723909	03284	কপালে, ঠিকরে আলুর যন্ত্রণা
c3007b660c	717bb	সব বিষয়েই ব্যাপক
c3010ee29d	f2097	প্রতিযোগিতার সুপার সিক্স পর্ব
c301381221	29f8c	অন্তত ১২জন
c3017ca586	37e17	প্রতিমন্ত্রী নসরুল হামিদ
c30203a694	0b7ca	মহারাষ্ট্রে অ্যাম্বি ভ্যালি নামের আবাসন প্রকল্প গড়ে তুলে সুনাম অর্জন করে সাহারা।
c3023e6f95	c6848	উঠছে নীল ধূলোয় সবুজ অদ্ভূত
c302727669	745b7	এবং জাতিসংঘ
c30280eb4c	282d3	বড় রকম দুর্ঘটনা থেকে
c3028b472a	fda1a	আংটির সাথে
c302b5916f	7898e	উপজেলার চাড়াভিটা থেকে
c302bc31bc	3faff	তারেক রহমানের রায়ের বিরুদ্ধে
c302f21277	16877	গলায় পরিতে সুখ
c30319d49d	903fa	উরু, যৌনাঙ্গ
c30352937c	8ba2b	নির্মাণ করা হয়
c3040c8cc7	a43b5	একজন মার্কিন নৌ বৈমানিক
c3041fce47	7f2ef	প্রস্তুতকারক কোম্পানি
c304d0b6f4	3fce2	এই যুগলবৃক্ষ দেখতে আসেন
c3053c5392	e55de	পুরস্কার ঘোষণা করেছে
c30576e32e	b7be9	অর্থাৎ যে বছর
c305c9aabd	b9b98	অনেক দেশের চেয়ে সুবিধাজনক
c305d0c6ed	f6e55	আলাপ করে
c306014684	e68af	আদিম মানবের জীবাশ্মের সঙ্গে
c3065dde80	75f18	আলোচনা করা গিয়াছে
c306de878a	e2ff7	জলে প্রতিফলিত
c3076f48cb	ff0fe	কাগজ দিয়ে তৈরী
c3078c1bcb	c0d65	ভক্তি ও প্রেমের আধ্যাত্মিক
c308024169	06ea3	চলা সিরিয়ার গৃহযুদ্ধ
c30808a391	a1d4a	ওয়াকিং ডেড, ফেসলেস
c30813bd01	7ee9b	তবে বিমানটি নিখোঁজ হবার পর
c30856c27a	6dff5	একজন রিকশাচালক
c308d1dbac	6973e	ও বোমা হামলায়
c308f5353c	d0c70	ব্রণের দাগ
c3093b4692	d0c70	এই সংঘর্ষে এখন পর্যন্ত
c30940f5d0	91223	প্রধানমন্ত্রী মনমোহন সিংয়ের সঙ্গে
c3098572b8	491a5	গাড়ীতে এবং পায়ে হেঁটে
c30a441429	4bede	গাছের ডালে বা গাছের তলায়
c30a76720d	a7c6f	এসব উদ্বাস্তুর অধিকাংশই
c30ab64490	3f875	আউয়ালের বাড়িতে
c30ad2a524	88654	তাঁর জীবনের একটি বড় অভিশাপ
c30ad50c09	ce629	পূর্ব পাকিস্তানের লোকসংখ্যা
c30b3655b9	ac0df	বাচা বের হবার পর
c30b8c2332	39293	নত হয়ে কায়
c30bc00602	88654	দর্শনার্থীদের বিষয়
c30bcd8429	c7705	গত কথার
c30c11b2cf	e03fc	কিন্তু সরকার সেগুলো
c30c26c281	ac0df	তাই ড্যাডাং ড্যাডাং রবে
c30c3079dd	7a227	ইউরোপীয় খৃষ্টানদের বিশ্বাস
c30c40c094	eecdd	সেই ভাবমূর্তিতে
c30c43af3c	01e91	অভিভাবকদের কথায়
c30cac6279	0744c	ও একাত্তর টিভি চ্যানেলের
c30d60e1de	39dd0	রাজধানীর মিরপুরে ইউনূস সেন্টারে
c30e47fd74	410fa	নিজেদের প্রেম নিয়ে
c30e4b115a	3ec4d	৫৮ মিনিটে
c30ea1450d	8edea	অনেকেই বলেছেন
c30eba8bfe	1e7c6	এবছর এসএসসি পরীক্ষা দেবে
c30ed85764	d71a3	ভাংচুর চালানোর খবরও
c30f27ea27	d0c70	তিনি বাঙালি
c30f353059	f658d	আউটসোর্সিং
c30febe9cb	15a75	ক্ষতির পাশাপাশি
c310378526	e8dde	কমিউনিস্ট কবি হিসেবে
c310572d6d	ad98d	বহুদলীয় সরকার
c31077ca1d	25117	একটি মিঙ্ড অ্যালবামের
c31091cf09	bdd05	শোভা পায়
c310a4a20e	7027a	মায়ের কাঁধে মাথা রেখে
c310c0cec4	31f2a	অধীন একটি শহর
c3115dd009	f837a	৯শ ২৬ জনের তৈরি
c311a2f871	7f2ef	আফগানিস্তানের বর্তমান প্রেসিডেন্ট
