2c001604c3	95907	তবে এটাও তো ঠিক
2c003cd7db	1a4a9	দৈনিক বাংলা খবর
2c00df53a3	68549	ব্যর্থ করে দেন
2c01ca7435	1e7c7	ঠান্ডার বাপের ওপর
2c01d309e2	fbb81	বাংলাদেশ নিউজ
2c026081f9	10a9f	রুবেল সব এলোমেলো করে দেওয়াই
2c02687256	351dd	আইনগত ব্যবস্থা নেয়া
2c02b68b7d	e6203	এদিকে সমাবর্তনে
2c02d156cf	239f7	ধরা হয়েছিল
2c02f0c2ff	d2d71	কেন এই ফলাফল হলো
2c0324df4f	a43b5	ঋতুপর্ণ ঘোষের
2c037e86bd	a3a6d	সানজিদা আক্তারের সঙ্গে
2c03a74d86	8c120	পানি ও বিদ্যুতের মতো
2c03b554e5	92f59	কতক্ষণ পরে
2c03e5d7a5	4c555	রাইস ইউনিভার্সিটি ইন টেক্সাস
2c03f25720	75626	একটি সাধারণ
2c0428cf59	4ea73	গত ২ এপ্রিল
2c04ce100e	4486f	শ্রীকৃষ্ণ যখন আবির্ভূত হন
2c05986778	57d54	চট্টগ্রামের বণিকদের
2c05ad309a	ee7b2	ট্রেনচলাচল শুরু হয়।
2c05b4966d	07660	ওই অনুষ্ঠান আয়োজনের
2c05f9a969	ab946	দীর্ঘ হওয়া উচিত নয়
2c061e76a5	5dd61	আজকাল একটু টাফ হয়েছে
2c0638feeb	17dcd	নাজমুলকে না পেয়ে
2c063bebfb	2ecf8	গালিবের ক্ষেত্রে তা নয়
2c067c2746	6da0a	বিস্তারিত সমীক্ষার
2c07047d36	8a46d	কোন লিখিত সংবিধান নাই
2c075257f2	520fb	সেলিমাকে মঙ্গলবার কোন অভিযোগে
2c076639d3	d7a68	মাত্রা ছিল রিখটার স্কেলে
2c0769d2e5	5639c	মাথায় বালিশ পড়তে
2c07d0e884	c0d65	মোহাম্মদ আলী জিন্নাহর
2c084d729b	7c272	প্রতিনিধি রয়েছে
2c0870fed9	91223	ওই বছরের অক্টোবর-নভেম্বর নাগাদ
2c08fcb409	09b32	শিশুদের মৃত্যু হচ্ছে
2c09a31005	fd880	লালনের ওপর
2c09d83e9c	1a4a9	ঐতিহাসিক দৃষ্টিকোণ থেকে দেখলে
2c0a7eb5b7	80be1	এই আকস্মিক বইটির
2c0a820242	dafb6	ধানমন্ডি ১৫ নম্বরে
2c0b78c7bf	2bd99	দীর্ঘ বিরতির পর
2c0ba81e0a	3d17c	অন্য সব কারিগরিও
2c0bb87242	13b6a	মানসম্পন্ন মাল্টিপ্লেক্স পেলে
2c0bde67e7	509f6	১৯৩৮ সালের
2c0c1b1d76	fb4cb	তাদের সংহতি জানান
2c0c2c6c0f	43fc0	যার ফল দেখা গেছে
2c0c452fb1	95f83	নারীর অধিকারের জন্য
2c0c48aa29	9092b	বাকি কাজটুকু সারতে
2c0cf40de5	d8c80	এমাল বলছিলেন
2c0d18e59d	92f59	ডিসি টেন বিমানটি
2c0daa4407	f1ea4	এটি সমালোচনার মুখে পড়ে
2c0df349ca	91ac1	কয়েক রাউন্ড গুলি চালিয়ে
2c0f4e0fec	d1a48	গ্যাসের সংযোগ
2c0f6dda2d	0a7a0	মানববন্ধন ও আলোচনা সভা
2c110a032a	2fe3c	হাল ছাড়েনি
2c111ae773	af81d	এমন বিতর্ক তার কাছে
2c114fbee0	c8f7f	থাকিতে পারে না
2c11520919	37d7e	ভাসানির প্রতিকৃতিতে
2c11ecaeda	778c0	বেলুনগুলো ছাড়া হবে
2c1222c257	28bb3	এর পাল্টা
2c12291e5a	9d46f	কথা হচ্ছে কে কিনবে
2c12487477	9351a	সুনাম কুড়িয়েছেন তিনি
2c125c8f9a	06e62	ঘরের দরজা ধরে
2c127e3bf2	616ec	এরা হচ্ছে
2c1281d6d8	6dff5	সমাবেশ করে
2c12b07f60	590d0	বাংলাদেশ এবং ভিয়েতনামের
2c13145e74	b8fe1	কোনোদিন প্রথম পর্যায়ের
2c13472d23	39dd0	সবচেয়ে সংরক্ত
2c135756e4	f2097	দ্রুত শাস্তি নিশ্চিত করা
2c1359b7d5	92f59	এই কথা শুনিবা মাত্র
2c13e8689e	39293	চার বছর আগে
2c142d43fc	ced74	মুক্তিপ্রাপ্ত একটি আমেরিকান
2c1446a7b1	c5479	এদেশে নাকি
2c1462e617	d9081	তাদের মনের মাধুরী মিশিয়ে
2c1468761a	d3e06	হুমায়ূন আহমেদের চলচ্চিত্রগুলো
2c1495acbf	7d004	শুরু হয় তাঁর সাহিত্যসাধনা
2c14c518f0	3bea8	বাকি ম্যাচগুলো হবে
2c1541e4cc	355c1	১৯৭১ সালে যুদ্ধ শুরু হওয়ার সময় নিজ গ্রামেরও খুব কম মানুষই তাকে চিনতেন।
2c1550ac9e	f1ea4	বাংলাদেশের ভবিষ্যৎ কী হবে
2c15bfa06f	47e8d	সেদিন কেউ
2c15d79f85	e3d8b	এখন জিজ্ঞাসা করি
2c16387121	f600a	ভালো ব্রান্ডের কন্ডিশনার
2c1639cefd	eecdd	চোখে বিস্ময় নিয়ে
2c1695b211	717bb	বাহির করিয়া দিল
2c1774bd8c	ec91c	৪৫ মিলিয়ন ঘনফুট
2c1798d30f	25117	সিগনাসে বাঁধো ঘর
2c17ca6226	a43b5	বিশ্বকাপ ট্রফি
2c17f262dc	0606d	দেশের পক্ষে যা মঙ্গলকর বা সত্য
2c1802b1dd	d82d9	নর্থ সাউথ
2c18701108	2556b	পুলিশ এই দুর্ঘটনার কারণ
2c18f36d4f	2b883	কাজেই ঘটনার ভয়াবহতায়
2c19103d75	520fb	বেসরকারি খাতে ঋণ বিতরণে
2c1935d1b5	d5f7b	চুপি চুপি ডেকে আনতে পারিস
2c19611375	1e7c7	প্রার্থী ছাড়াও
2c19cdd90a	717bb	আহসান মঞ্জিল
2c1a177fa8	29bab	সেখানে গেলাম
2c1a29bbdc	577fa	রোদনে কাহার অধিকার
2c1a589300	18a52	বাংলাদেশে শুধু দিনাজপুরে বড় পুকুরিয়া কয়লা খনি থেকে কয়লা উত্তোলন হচ্ছে।
2c1a609839	f1ea4	২৫শে জানুয়ারি, ১৮৫৬
2c1a6f8e02	943de	বাস করা
2c1a83e1d5	1f733	সে মেলে ধরেছিল
2c1ace95a3	09f0d	পিরোজপুরের চিফ জুডিশিয়াল ম্যাজিস্ট্রেট
2c1ae57b70	2ad74	স্টামফোর্ড বিশ্ববিদ্যালয়
2c1b40b167	cb842	মালয়েশিয়ার প্রধানমন্ত্রীর ঘোষণা শুনে
2c1c0e0785	b08d0	কিছু কিছু শাখা-প্রশাখা
2c1c5cb718	7027a	তাদের চিরশত্রু ভারতের সঙ্গে
2c1ce961e4	6c17f	দীপিকার বদলে সিনেমাটিতে
2c1d09e772	17ca1	১৬ জনকে
2c1d373b08	ad69a	একটি বাড়তি প্রস্তুতি তো
2c1dbc2df6	ee994	একটি কোম্পানিতে
2c1de6878c	61820	মৌসুমীর কাছে
2c1e25f58c	56508	পারি কি না
2c1e3a0b29	1a2a1	তাদের ১৪ দিন
2c1ebee4d9	11de3	মুসলিম অধ্যুষিত দেশটির উত্তরাঞ্চলে
2c1f11cb1f	121bd	রোববার খোঁজ নিয়ে দেখা গেছে
2c1f21629a	ad69a	এর নিন্দা জানায় ইউক্রেইন
2c1f64cd9a	e2c11	চিকিৎসা ও শিক্ষাদান প্রক্রিয়ায়
2c20120c1f	dec2d	বারডেমের চিকৎিসকরা ধর্মঘট প্রত্যাহার করেছেন কিনা সে বিষয়ে নিশ্চিত কিছু জানা যায়নি।
2c2130c189	967fd	ছেলেটির পরিচয়
2c215a23a5	e43d4	মার্কিন কর্তৃপক্ষের মতে
2c2180c5d7	d2294	চিন্তা ভাবনা করে
2c2183e0c1	9f25e	হাজেরা খাতুন
2c2269115c	0bace	যুক্তরাষ্ট্রের উত্তর-পশ্চিমাঞ্চলীয় অঞ্চলের
2c22bf5c46	e9759	পুলিশগুলো গুলিস্তানে
2c22d6af56	0d4cb	সড়ক মেরামতের কারণে
2c23086b2b	4fc91	আমেরিকান পদার্থবিদ
2c2374b32d	b8fe1	এ প্রশ্নের জবাবে
2c23b0189a	b78ec	নবীনগর-কালিয়াকৈর মহাসড়কে
2c23c64033	d9081	বীরভূম জেলা হাসপাতালে
2c245db141	60f77	তার সঙ্গে
2c24f436df	a1201	টি-টোয়েন্টির জায়গায় টি-টোয়েন্টি
2c252980b2	91b16	শিরোনামহীন কবিতাটি
2c252ca321	2aecc	যতদিন পর্যন্ত তাদের দাবি
2c25611131	351dd	বর্ষার কবিতা
2c25731245	53396	প্রাপ্ত হইয়াছিল কি না
2c26031cc6	1279e	শকুন্তলা পুরানো
2c26196d05	06736	এসব কথাই লেখা আছে
2c263d28e2	153c9	ইবি থানার ওসি
2c264a9e53	93080	মৃত্যু পর্যন্ত
2c2777d9a7	7a227	মাথার চুল থেকে
2c28063dbe	d5213	প্রতিরোধ করা সম্ভব
2c2856d991	52f27	বেকার জনগোষ্ঠীর চাকরি
2c28bc298a	1a2a1	সতি ময়না ও লোরচন্দ্রানী
2c28e1befa	1c618	ছোটভাইয়ের সঙ্গে দেখা হওয়ায়
2c296be191	ca831	সমুদ্র সমতল থেকে
2c29cd443a	9e923	ভূমিকম্পটির উৎপত্তিস্থল
2c2a0107fa	c7a89	তিনটি সমান অনুভূমিক
2c2a69a259	16cfb	আঁদ্রে লিন্ডে
2c2a757a48	42898	ধরা পড়েছিল
2c2a8c4fc1	80505	আঁতকে উঠার মতো পরিসংখ্যান
2c2ab8437d	3f493	তিনি বিনোদন বিচিত্রা পুরস্কার পান
2c2ac4498c	11de3	তিনি বিএনপির সমর্থনে ঢাকা সিটি করপোরেশনের মেয়র পদে প্রতিদ্বন্দ্বিতা করতে চেয়েছিলেন।
2c2adfbf54	9282d	জিয়া খান
2c2af0f2b2	d0c70	বাবুল জানিয়েছেন
2c2b16a1aa	4dd57	যেন কোনও একদিন
2c2b32ae61	0744c	প্রথম প্রকাশ ১৯৮৭
2c2b3bef13	ce629	হিন্দুরা বুঝিয়াছিলেন যে
2c2b4044bf	4f2ae	পুলিশ বাসটি আটক করেছে
2c2b6dce02	8406e	নেপাল আফগানদের নিয়ন্ত্রিত বোলিংয়ে
2c2bd181ef	0633a	নানা আন্দোলন ও কর্মসূচি নিয়ে ব্যাপৃত
2c2bee4a33	239f7	ফ্লেবারটি হচ্ছে মিন্ট
2c2c11df21	3f493	এ আয়োজন নিয়ে
2c2c4a8606	e68af	আরাকানের শাসনব্যবস্থা
2c2c5cc11b	f7a7f	পরিবর্তন আনতে চাইছেন
2c2c9ee6da	ad69a	পীর মা হিসেবে
2c2d2561de	a43b5	বিভিন্ন শ্রমিক সংগঠন রয়েছে যাদের বেশিরভাগই কোন না কোন রাজনৈতিক দলের সাথে সম্পৃক্ত।
2c2dcac3fd	4164f	এর আগে কয়েক দফায়
2c2e2c6a5a	32b3e	প্রয়োজনের তুলনায় অনেক কম
2c2ef16fe6	84145	পরিচালনার অনুমতি পান
2c2f89b792	7b132	ও রুহুল কবির রিজভীর কক্ষে ঢুকে
2c2fb190cc	1a2a1	এর আগে একই এলাকায়
2c2fb791a2	8406e	মন্দির
2c302368b0	15a75	আবার ঘা হয়ে গেছে
2c30af4846	cf82a	সেনাবাহিনী কোনো গ্রুপ
2c30b32166	5354e	ক্রীড়াবিদ হিসেবে
2c312884ef	0f047	হেগে স্বাগতিকদের ৮ উইকেটে
2c31342818	e31e7	সেনাবাহিনী প্রধান
2c3134ce8f	7df87	মেঘলা আকাশ
2c319d8cbb	66c6b	পূর্ব ইউক্রেনের উত্তেজনার পেছনে
2c31ce3579	93d3b	মহানায়িকার সুস্থতার জন্য
2c327a9d18	b78ec	ব্যালট পেপারসহ
2c328f025c	53396	কিন্তু এখন
2c32fed4bb	17dcd	দাম মেটানোর সুযোগও রয়েছে
2c336dc92d	bf530	সোমবার তালেবান প্রতিনিধিদের সঙ্গে
2c3387e60d	2ee04	কোন একটি টেস্ট ম্যাচে
2c33b0dca5	932bb	পীরের নাতনি হয়ে
2c33e4c278	bd576	আলালের ঘরের দুলাল
2c33f7ea58	7d3e1	নতুন অধিকার
2c35230384	c3cb3	মিনটেলের তথ্য মোতাবেক
2c3535f4f1	43b04	অতিবাহিত করেছি
2c35577ec4	98b81	এক বৈঠকে বসে
2c360e85d1	93bf3	থলির ভিতর থেকে
2c36435c7e	15a75	শিল্পীর যখনই যে মাধ্যমের প্রয়োগ
2c3650f3d0	0e637	দেখেন না মেয়েদের
2c3674cf21	ce775	তার খেলার ব্যাপারে
2c3688d0d0	086dd	পদার্থবিজ্ঞানী হিসেবে
2c36babe8e	1b359	সিদ্দিকা কবির রেসিপি
2c370b06e8	cc9fd	আহত হয়েছে
2c37508877	e3d8b	ও পৌর কর্পোরেশনাধীন এলাকা
2c376d59d9	65e30	তবলার চাটির সঙ্গে একত্র হবে
2c37879932	cf82a	মনে পৌঁছে যায়
2c37887fa5	f83df	ঢুকে পড়েন তারা
2c383d5d10	a1d4a	অনুরূপ আইচ
2c385fae14	3b1f7	প্রায় ২৩টি হিসাবের মাধ্যমে
2c38623195	28dfc	মূলত যৌনকর্মী হিসেবে
2c38a8e4f3	1652d	এন্ড কম্পিউটার সেন্টার মালিক
2c38eb854d	80505	যমদেবতার একটি
2c395642d6	88654	আমানত সংগ্রহ করে
2c3964c527	767ff	নামের একটি রিয়েলিটি শো এর
2c3979d574	35ef3	না চিনল
2c398e70af	5dec6	বিলাইয়ের রূপ ধইরা
2c3a1725a4	194f5	সাংবাদিকদের অভিযোগের ভিত্তিতে
2c3a79d406	03284	উন্নত দেশের
2c3aa0df05	3c897	তার মেয়াদ
2c3b1a54fd	4bede	মৌলভীবাজার ও ব্রাহ্মণবাড়ীয়া জেলায়
2c3b7d2e8b	7ee9b	কষ্ট পাইয়াছে
2c3b9a2579	4e900	তিন মাসের আমদানি ব্যয়
2c3b9bf8ed	8edea	পড়তে পারে বাংলাদেশেও
2c3bb3c756	4dd57	সংগ্রহ করা টাকার জন্য
2c3bdb4637	274ee	তাতে বাংলাদেশের অবস্থান ছিল
2c3c42862d	5d80e	এ টমেটোর স্বাদ ও মান
2c3c43c74e	4c1eb	আবার তা আটকে দিয়ে
2c3cc498f5	f7a7f	ধূমকেতু হলো আগুনের পতাকা
2c3d2aa073	08458	খুবই কঠোর
