b80009c847	7e1d5	পরিবেশ রক্ষার জন্য
b8008e2015	d5213	আমি যে সর্বনাশী
b8015c906c	0895a	জেল কর্তৃপক্ষ বলছে
b8015ff3f6	91230	এমনি ভাব
b8019459e4	cb842	শপথ নেননি
b801d9ce27	92bd8	রাস্তায় দাঙ্গা-হাঙ্গামা বাধিয়েছ
b80203abe4	2f547	৪ পয়েন্ট
b8020836dd	274ee	অ্যাপোলো ১১ নভোযান প্রেরণের
b802151dbc	69449	রক্তপাত বন্ধ করতে
b8026a4df5	e9fa7	সিঁড়িতে অনেকগুলো পায়ের শব্দ
b8028006c7	b8fe1	শাবনূর বলেন
b802a9be01	32998	আসার জন্য জানানো হয়েছে
b802dd341c	84145	ইন্দোইউরোপীয় ভাষা পরিবারের
b8031b09dc	778c0	হত্যা, লুটতরাজ
b803317e44	086dd	মুক্তি নেই
b803e66bff	72649	গত ১৪ ফেব্রুয়ারি
b80452a2a1	cb842	ফ্লাকসিয়নের পদ্ধতি আবিষ্কার
b804b1ac7e	1652d	ব্রিটিশ রাজকর্মচারী
b8052dc73d	72649	পাওয়া যাইবে
b80695e50c	1e7c6	কতক বাঙালি মুসলমান
b807975766	9f25e	নায়িকার কথা শুনে
b807d9e88f	ce629	২০১৪ বিশ্বকাপ ফুটবল মেসির ছবি
b8086ab0e3	cd3ac	স্বরাষ্ট্রমন্ত্রী বলেছেন
b80929c8e2	ce629	আমাদের পারিবারিক ভ্রমণে
b8098184b0	38d3a	কে জানে আমার মনটা আজ
b809e6bc35	15a75	এসো তুমি সে ভুবনে
b80a67bae3	82926	অতল জলের গান
b80b1d684f	554fe	খুনীদের পক্ষে সাফাই
b80b2c10e1	a274b	কিন্তু বাংলাদেশ
b80b638725	03284	তুমি কষ্ট পাবে
b80b769ee6	92f59	মহাত্মা গান্ধী
b80b76ac60	6ee5f	শেখ রাসেলের কর্মকর্তাদের বিরুদ্ধে
b80bf04290	c6848	যে মিষ্টি রস
b80c1d2962	d9081	গুপি বলল, মহারাজ
b80cefb323	2ad74	বর্ণমালা
b80d303978	56508	চেংটি, ছোট শোল
b80d744b09	3c897	এই ভারতবর্ষে এলো না
b80db356c6	59c73	এক শিশু এক ট্যাবলেট
b80dd07827	58998	তবে এসব পোশাক নিয়ে
b80df997a6	b9122	এমনই এক প্রদেশ
b80e3b3b4c	bd576	প্রতিশ্রুতি দিয়েছিলেন
b80e5159c4	3ccf1	আমাদের দেশে প্রথা ছিল
b80e89f8bd	2ecf8	শহীদুল আলম সোহেলের
b80e99eedd	25117	অল্টারনেটরে আর্মেচার ওয়াইন্ডিং
b80eda59dc	95f83	বেশি স্বাচ্ছন্দ্যবোধ করে
b80f13e3d1	c5479	অথচ অপরিহার্য কাজের দায়
b80f175baa	8a46d	হয়ে পড়ল
b80f59ca4f	8845d	চরম কোন পথে যাওয়ার বিপক্ষে
b80f62860b	c7a89	তাঁহাদের দেওয়া শিরোনাম
b80f6d3816	16e96	সাইফুল হক
b80f9f5810	7898e	ঊষা এই তিনেরই
b810d53457	5d80e	হট
b8110c949b	d9817	তারিন
b811406591	43b04	শনিবার প্রকাশিত হল
b81153a037	cb627	স্টার আনন্দ
b8115ca726	bf530	কয়টি উৎস ভারতে
b811731113	1cb75	বোধহয় মতপার্থক্যও ছিল
b811f2832e	88654	একটি মাত্র কোষ দিয়ে
b8128732b9	f4ba7	কর্ণফুলীর কূলটায়
b812a15379	aab0f	দ্রুত উত্তেজনা কমিয়ে
b812ef336f	693cb	১০ গুণ বেশি
b812f16de8	c41d8	গোলাপ গাছ
b8146fda3b	da6f0	মিরসরাই উপজেলার জোরারগঞ্জ থানার
b8147ad957	6e6fa	তীরের কাছাকাছি
b8148d2102	4a918	সংবাদ সম্মেলন করে
b815ba26bb	25117	পুরো এলাকা জুড়ে
b815c18378	4f450	কিছুদূর হাঁটিয়া
b81722454e	68549	নেওয়া পদক্ষেপ
b8177ef640	e6752	সেভিল এই ছেলেটির
b818601002	976b1	ব্যবস্থা যেন থাকে
b81868c71e	d9081	১২৩০ সাল থেকে
b818909505	4c555	ঘোষণা করা হবে
b8191177c1	03284	গণনা শুরু করেছিলেন
b8191b8416	c7705	হাত বুলাইতে লাগিল
b8194e2763	767ff	বাধা হয়ে দাঁড়াতে পারে
b819ac89a4	33814	এই দপ্তরে
b819f6389c	ad69a	আরও কিছু জিনিস নিয়ে আসে
b81a10c0e9	e6e48	সিরিয়াস ভঙ্গিতে দাঁড়িয়ে- রাজনীতিক
b81ab95733	5dec6	ছোটাছুটি করে
b81abd2eb7	49543	রীতির প্রয়োগ
b81ace0155	2ee04	সালমান এফ রহমান
b81b43e25a	79b06	তবে দেশের সেবা করার জন্য
b81b508e74	e8dde	পরিবারের মধ্যকার মমতা
b81c7429b1	d2d71	জেনারেল নলেজ
b81c93c58b	3fae0	ইন্টারনেটে কাপড় কেনার
b81cd8d03b	b52ab	বাড়ি ফিরতেন
b81d9b6c72	c0d65	ওয়েস্ট ইন্ডিজের বিপক্ষে ২-০ ব্যবধানে
b81dbbe449	35ef3	আমাদের মধ্যে এতো
b81dd1292e	ee7b2	আশ্রয় নেন
b81e1617d7	d9817	তাই থেকে
b81e59aaf3	fbb81	ক্যান্সারে আক্রান্ত
b81e869899	12702	এই গোষ্ঠীর এক হাজার সমর্থককে
b81ea11012	9065c	পেশার এবং রুচির
b81ebb4ff8	66b3c	রিজার্ভ কমে গেলেই
b81eee1a69	4bede	এলোমেলো, নিশাচর, মদ্যপ
b81f0b9bd4	f280a	একটি ট্রাক আগুন দিয়ে
b81f87e3ae	590d0	এই দেশটিতে
b820007130	12702	ধ্বংসস্তূপ থেকে আবারও
b8203b54ce	7f2ef	ক্ষেপণাস্ত্রের প্রথম
b8205c61dc	1c618	তিনি লিখিয়াছেন
b820cb1615	430b2	প্রাক্তন স্বামীর সঙ্গে
b820fa42cd	7e1d5	না হলে বাড়ি থেকে
b82187ec67	4c555	সেটা কি
b821a8bfda	37e17	কোনও জবাব দেয় নি
b8220c799e	16e96	যেমন মারকারি, সালফার, আর্সেনিকের
b82214cdc4	d5213	সোনা মিয়া ওরফে ইমরান
b823290842	db181	ঘটনাটি নিয়ে ব্যাপক তদন্ত চলছে
b82344b95e	1f733	পাশাপাশি পাখিপ্রেমীদের কাছে
b823d4acf0	7f71c	এর চেয়ে কিছুটা ভালো
b823e9d1d2	35ef3	আজকের আবহাওয়া
b82411831a	91dff	সন্ন্যাসী লরেন্সের লোক
