d00012e69f	32c77	সাধুবাদ জানাই।
d000962015	b8bf0	হওয়ার কথা নয়
d000b1fa47	4fd66	ভোট কেন্দ্রগুলো ঘুরে দেখা যায়
d000c72e7a	1de6c	মনে করেন অভিজ্ঞ এই সামরিক কর্মকর্তারা
d000cb8e1a	9813c	লিমন মাথা ঝাঁকায়
d000d709b4	13b6a	যখন কোনও ধর্ম
d00133d439	536d9	কাজ শুরু করবে বলে
d00183cac8	d0c70	ছেলেটার দিকে
d001b60e27	f0f95	যমুনা
d001eb2db4	5dec6	উদ্ধার করা লাশের মধ্যে
d00221830b	72649	সুনামগঞ্জ জেলার
d00244be7f	08458	এক এক করে
d0025a13bf	5d12f	নিখোঁজদের স্বজনদের অনেকেই
d00265f470	fcc89	তা নিয়ে রয়েছে সংশয়
d00275eb62	76329	নোবেল পুরস্কার পান
d0032ba2c3	195f7	কিছুটা ব্যর্থতার
d00349b033	7ec1c	ইউক্রেন সংকট
d003598a35	4bd2c	দক্ষিণারঞ্জনের আগ্রহ
d0037be6d1	a1d4a	জাপান, চীন, দক্ষিণ পূর্ব এশিয়া
d003e629fa	ca088	লিড নেয়ার
d00421ef28	745b7	নয়া শেরিফ হিসেবে
d004397098	aabe7	কিছুদিন পর
d0045f8b03	e68af	কেশবপুর
d004989b92	6ee5f	সামাজিক, মানসিক
d004a8dfb7	d2294	অন্য পাঠকদেরই মতো
d0058a8819	b8bba	চেষ্টা করুন ধুয়ে ফেলতে
d00616c39e	cb627	২৯ জন নিহত হয়েছে
d0068ed467	cb842	প্রথমবার আবেদন করলে
d007a9e537	ee886	রবীন্দ্রনাথের ছবি
d007da0d8a	8edea	পুরানা পল্টনে
d008034ae5	8a46d	খোরশেদা বানু মিষ্টি জানান
d0083bb780	75936	জানালা ধরে বসে আছে
d0089e680f	2d78f	প্রাথমিক কাজ শুরু হবে
d008d1fb63	37e17	চান্সই দেওয়া হল না
d008f181e2	2ac82	কুইজ
d008f31347	c41d8	নোকিয়া এন্ড্রয়েড
d0091db71f	c0965	জগতের
d0093b896e	2ad74	আমার ভাই
d009576a97	fd880	প্রায় ১ পয়েন্ট
d00984842d	7f71c	প্রেমের সম্পর্কের কারণে
d0098b9600	88654	তাদের সার্বিক মূল্যমান
d009970bb7	6973e	রুদ্র
d009ae8141	91223	দাদা ভাল ছাত্রের মত
d009f9e5f5	7351e	সমাজে মেয়েদের স্থান
d009ffccb2	88654	পলাতক এলানের বিরুদ্ধে
d00a697220	d2d71	পরবর্তীতে সেখানেই
d00ab93c81	cd3ac	কেন এই খাতে
d00af6cdfc	07660	টিনের বাড়ি
d00b09d8f1	bf530	এক ঘণ্টা বক্তব্য দেন
d00b18d2ef	47e8d	১৯৬৭ সালের
d00b24e241	5dd61	অভিনয়ের সুযোগ পেয়ে
d00b71182f	ad98d	প্রার্থী হলে তার বিরুদ্ধে
d00bc2ce13	f2097	ভবিষ্যতে এসব ক্ষেত্রে
d00ccaf14b	e2ba2	কিছুই জানেন না
d00cf1cb6e	577fa	তোমার গ্র্যান্ডপা মারা গেছেন
d00dd21595	49d63	বাংলাদেশে দায়িত্ব নেয়া
d00e0ede75	08458	বিলির পর বিলি অফিস হইতে
d00e68ea3e	f2b7d	পৃথিবী এখন চলে পারস্পারিক সম্পর্কের মধ্য দিয়ে।
d00f32b915	8cf95	নির্যাতন শুরু করে
d00f6309d2	bd576	অ্যাসোসিয়েশন ফর কম্পিউটিং মেশিনারি
d00f674d67	b52ab	জিনিসটির উপস্থিতি
d00f944daa	7a227	অমরাবতি জেলার
d00fb09264	b9b98	তখনো আমাদের হাতে
d00fc27f17	c2082	সর্বাত্মক চেষ্টা চালান
d00fdda7b3	a274b	হঠাৎ বৃষ্টি
d00fe4d4e2	1b359	ইংরেজ কমান্ডার ও তাদের সেনাদের
d010e79827	eecdd	শনাক্ত করার জন্য
d010fbea2d	53396	রাজপুত্র দেখিলেন
d0111db1ab	ee886	কমিটি সুপারিশ প্রণয়ন করবে
d01120b7a9	ee994	নবাব সিরাজউদ্দৌলা
d011757aac	93d3b	দাবী করতে থাকেন
d0119abd6a	ad050	মৃত আগ্নেয়গিরি আছে
d011a39e1c	8a46d	গবেষক হাবিব রহমানের বিশেষত্ব হলো
d011a41308	bdd05	এ ক্ষেত্রে রবীন্দ্রনাথের
d0121ca1be	58998	যোগাযোগ করে
d012448129	60b9d	টানা চারদিন
d012d0975b	3bea8	সর্বোচ্চ এক বছরের কারাদণ্ডের
d0132513ac	3fce2	রাষ্ট্র-পরিচালিত বার্তা সংস্থা সিনহুয়া
d0132e15db	ce775	কাউকে চেনে না
d013f99612	a7c6f	ড্যাম নির্মাণ শেষ হলে
d014611720	13b70	প্রমাণ করিব
d014e288b3	4bd2c	প্রামাণিক বলে ধরা হয়
d015298d48	b52ab	সমস্যা মনে হতো
d015392d1f	72649	আমার মন বিক্ষিপ্ত করত
d01542cc89	b8bba	পুঁথিলেখক তাঁকে
d01565a3d9	24f73	কানাডার ওন্টারিওর ওয়েস্টার্ন ইউনিভার্সিটির
d01588606c	1279e	বন্ধুত্বের মধ্যে সীমাবদ্ধ নেই
d015d7e04b	8c120	বাজেট স্বল্পতার কারণে
d01609ab1f	ac0df	অস্বাভাবিক নয়
d01682ba3f	ba2f6	মানব ইতিহাসের
d016c6ffb6	5b13f	আমার জন্য অপেক্ষা করে
d017783e7f	ee4ad	আমার একটা পায়ে
d017cb1d89	e8dde	গানের শো আছে
d0186740ad	860f4	দুই নেত্রীর
d01880a9e1	2ad74	ঘোড়ার মাংসের অস্তিত্ব রয়েছে
d0188e94b2	bd576	পাঁচটি ছক্কার সাহায্যে
d018b6b3e8	efc0d	৪৪৮ বলে
d018d15629	ff1eb	এই রূপাইয়ের সঙ্গে
d01933ec97	0d9f1	নিহত আলী হোসেন
d019710d2f	4164f	লেবু ১ চা-চামচ
d019c80461	7b900	আলোচনার দরজা
d019dbbf7d	8edea	আমার বড় ভাইয়ের স্ত্রীকে দেখলাম
d01a02e8fe	355c1	১৯৬৫ খ্রিস্টাব্দে
d01a48b125	b7be9	ছাপার কাজ
d01a54e861	95f83	অর্থ লোপাট করেছে
d01a5924c4	efc0d	গুরুত্বপূর্ণ একটি যৌথ শিল্প-কারখানায়
d01a8fd4a8	ea5be	বন্ধ করা যাবে না
d01a96d142	16e96	অপেক্ষা করতে হবে
d01aaa391e	f89d7	আফগানিস্তানের এর আগে
d01b1bcbee	6b437	গর্ভবতী মায়ের পুষ্টি
d01b2bc7a9	860f4	মঙ্গলবার ভোর থেকেই
d01b34a1e9	9b864	কিন্তু কিছুটা পথ এসেই
d01b78d4d3	ce180	১৯৩১ সালের ৬ মে
d01b96ceaa	d9ba9	আর কী সব বস্তাপচা কাহিনি
d01bd67dc4	b8fe1	প্রতিদিন নিচ্ছে
d01be90ccf	38ff0	সরাসরি ট্রেড ইউনিয়ন নেই
d01bf5f139	7d3e1	ফিরিয়ে দেয়ার সিদ্ধান্ত নেয়
d01c009986	7297e	হিজল ফুল
d01c45abdf	fd880	বেঁধে ফেলে তারা
d01cd31589	66b3c	অর্থ পাচারের মতো অভিযোগ
d01cee1d8d	d9b11	মনুষ্যবল হইতে প্রাকৃতিক বল
d01d49e658	698ff	তিনি পেয়েছেন ২৭ হাজার ২১ ভোট দোয়াত-কলম ।
d01dd04100	75936	বসে জামদানি মেলা
d01de20549	a274b	স্বাভাবিক ক্ষয়
d01e2a1ffe	698a4	উন্মত্ততার শিকার হয়েছিল
d01eccce42	c463d	ওয়েস্ট ইন্ডিজের বিপক্ষে ২-০ ব্যবধানে
d01ecfa973	06ea3	রামায়ণ প্রভৃতি কাব্যে চলিতেছিল
d01f57e64d	42898	দেখা যাউক
d01f69db5b	e3d8b	এক একখানি বেদের ভিতর
d01f85f4ac	91230	স্থানীয় সরকার নির্বাচনে
d01fd4769c	1b359	অবশেষে এইতো প্রেম
d01fd563ad	adf01	তুষারপাত এবং ঝোড়ো আবহাওয়ার কারণে
d020720684	121bd	সকালে বঙ্গবন্ধুর জন্মদিন পালন করে
d020dc6c15	7b900	বেশির ভাগটা সময়
d0210a57af	5dd61	সেখানে বৃটেনের
d0210c1b14	809cd	আন্দোলনকারীদের সবাই
d0210e64c3	3fb17	আবার ঘুরে
d0210f0cf8	6c17f	কমছে না
d021336cbe	1f974	হত্যার অধিকার
d02162ff2c	adf01	প্রায় ২০ বিলিয়ন ডলারের
d021d6728e	6fb36	দিবানাথের সঙ্গে
d0220937fd	fdcba	এখন আমরা কতক কতক জানিয়াছি
d02283f4e7	b8fe1	যেন এটা ওর নিজের বাড়ি
d022c1e39a	3d17c	এবং উল্লেখযোগ্য একটি
d022d150e5	577fa	রিয়েলিটি টিভি শোর চাইতে
d022d70bb9	8b859	মহাভারতে কথিত হইয়াছে
d022f4f706	ee852	২৯ রানে অপরাজিত থাকেন তিনি
d0233eaf53	5a61c	দেশীয়েরা বলেন
d0234fc2f2	88654	ঠুমরী ও বাঈজী
d023728ce1	52578	নিজের দেশের দলকে
d024fb5e70	3d17c	অভিধর্ম বিষয়ক
d024fc380d	ad98d	ভর্তি হন তিনি
d0254f2250	f143a	মিয়ানমার থেকে আনা
d0255fc67d	388c9	তোমার অদৃশ্য থাবা সর্বগ্রাসী
d0258ad593	ad69a	যাবজ্জীবন দণ্ডপ্রাপ্ত
d025e67483	60b9d	মাতিয়ে রাখতেন তারা
d02620aece	13b70	রেশমা তাকে জানিয়েছেন
