91004be9de	f9dfb	এই বলকে যথেষ্ঠ
910080ff4e	60b9d	নিকটস্থ অস্থায়ী চিকিৎসা কেন্দ্রে
9100b7d546	42898	পুন-নির্ধারণ করা হয়
9100c15c45	ad2a0	তিনবার যুদ্ধে লিপ্ত হয়েছে
910156679c	388c9	তবে একজন বৃদ্ধ বলছেন
91019b228d	b8fe1	পঞ্চপাদিকা গ্রন্থের
9101af8fb3	eecdd	বিএসএফের হাতে আটকের
9101e41b56	38d3a	লক্ষ্মীপুরে হত্যা করা হয়েছে
9101f29710	a0277	৯৫ শতাংশ কাজ
910226628e	2f547	হলমার্কের মামলায় এ পর্যন্ত
91024a963a	cfc65	হাইকোর্টের একটি আদেশের পরে
9102beaa3d	ef4f8	আমার ঘনিষ্ঠ বন্ধু
9103d4200d	4f450	পুলিশের সংঘর্ষের ঘটনায়
9104b992e4	355c1	আমার প্রশ্ন শুনে
910503d575	6e8cb	সৎ ভাবমূর্তির
91051c45a5	1f974	অচেতন করে
91056be513	693cb	সমাধানের জন্য সিদ্ধান্ত গ্রহণ
9105e64712	2695f	মাইনষে
91060d6fff	8cf95	কেউ কাউকে বিশ্বাসও করে না
910617a877	e2c11	ঈদে 'অগ্নি' মুক্তি দেওয়া
91062282a2	dec2d	নিমপাতা
9106ad9738	ff1eb	রোববার ছিল
9106e7a910	745b7	ফেস্টুনসহ রং-বেরংয়ের পোশাকে
91070c9ccf	8c07c	কোনো শাস্ত্রে
91073ed9d8	b8ed8	বিবিসির কাদির কল্লোল
9107fa11da	54e68	তামিমের সঙ্গে
9108016b90	16a17	বাঘ পড়ে
910816a4ee	24aed	খ্যাতি আছে
9108285b38	3bea8	মানুষের মাংস
91093931e9	fdcba	নির্ধারিত ৪২ ওভারে
9109a74a2b	65e30	দুই পক্ষের সন্তানের মধ্যে
910a330764	b9a81	বন্ধুকে উৎসাহিত করে
910a3772ab	d5213	শিখাচিরন্তন সংলগ্নসমাবেশস্থল থেকে
910a899c22	e7230	ও সমালোচনায়
910aa500f6	7d133	প্রশিক্ষণের ব্যবস্থা করায়
910ad9cb2f	16877	এসব অভিযোগের মধ্যে ছিল
910b683fb9	0bace	বাঘাবাড়ি
910b8b3d7f	91b16	কিন্তু এর অংশ হবো না
910b90a295	a43b5	পাকিস্তানের করাচীতে বন্যার কারণে ১৯ জনের প্রাণহানি ঘটেছে।
910bd7a7f2	f1ff2	আগামী বুধবার
910be6bb4f	17dcd	ঢাকার বিক্রমপুরে
910c005956	698ff	আহবান জানানো হয়
910cca34a7	ee4ad	ঠিক ছ’টায় কেমন
910d03bfde	37d7e	তাহার পর আমাকেও
910e0b079a	4fbd1	গোয়ালপাড়া জেলায়
910e586c14	91223	মমতা
910e9207eb	11915	তুচ্ছ ঘটনা নিয়ে
910eea4102	15a75	সেটা দেশের জন্য
910f3242b4	b8ed8	চীন যে আজ
910f736018	dfefa	সামনের ডান দিকে
91104996fa	3fb17	সোমবার তালেবান প্রতিনিধিদের সঙ্গে
911068df77	6d129	বাংলা কবিতায়
91107f64b3	1f733	পীরের কন্যা জোহরা ছিল ঘরে
9110982abd	92bb2	থানা পুলিশের
9110e00145	52f27	দামি জিনিস
9111312b3c	adf01	প্রধান কারণ ছিলেন বোদলেয়ার
911191ddf4	4bd2c	গায়ে হলুদ
9111fcde9e	13b6a	প্রতিষ্ঠিত কারখানাগুলো সব নিয়ম কানুন মেনে চলছে।
9112059488	7df87	ফুলগাজী
911282837e	6ab59	বেগুনী বর্ণের যৌগ তৈরি করে
911300f063	54cdd	নতুন জার্মান
91134757c0	75f18	সব স্ট্যাটাস
91138e9ceb	91ac1	খুব সহজেই
9113e6671e	92f59	মাখন
91142f4d53	12702	তোমারই কারণে
9114dea132	976b1	সামরিক বাহিনী
9114dee872	29089	মৃত হাছন উদ্দিন
9114ec5285	cc9fd	ফেব্রুয়ারির নির্বাচন পেছানোর বিষয়ে
911543e98a	6e6fa	লেখার জন্য
91155e85e5	e2ff7	জার্মানি, চীন ও জাপানে
911678db76	33814	ব্যবহার্য ভাষা
911709291c	06736	তার বই দ্য লস্ট লেমুরিয়া
911776b15e	d9817	সরকারি প্রতিনিধিদলের সঙ্গে
91178dba29	4fbd1	সাত উইকেট হারিয়ে
9117de463a	f83df	প্রথম আলো সংবাদ পত্র
9117edf213	2840e	এই নিয়ে একমাসের মধ্যে
9118134ddc	5b13f	তাঁর শক্তি
9118175738	e9759	২টি জেটস্ট্রিম এয়ারক্রাফট
91182f0cbd	1c618	আমার প্রথম দেখা
9118694115	b08d0	এবং বিভিন্ন ব্যক্তিদের
9118ac7ef2	ec91c	অলিভার জিরুদের ক্রস
9118b48aaf	cfc65	তদন্ত টিম সরেজমিনে
9119047045	60b9d	খ্রিষ্টের জন্মের
9119080a72	d82d9	পল্টন থানায় আত্মসমর্পন করলেন রাজধানীতে খুন হওয়া পুলিশ কর্মকর্তার মেয়ে ঐশী।
9119469a99	adf01	ক্ষুদ্র হইয়া আমি কেন জ্বলি
911a425266	8ba2b	বিদেশি চলচ্চিত্রের ওপর উচ্চহারে
911aa24478	95907	সুরা বাকারা
911abb12bd	4bede	চুলায় দিয়ে
911b800ca0	b8fe1	এখন মন থেকে
911b8228d7	4fd66	সংসদে প্রশ্নের জবাবে
911bc49a86	1a2a1	যেন আনন্দে নেচে উঠল
911c02af25	80505	ছিলেন বিচারপতি সাত্তার
911cab799f	323f1	তাদের জন্যে লিখব
911cfe814f	e00db	ঐন্দ্রজালিক মায়া
911d889e48	49543	ব্রম্ভচর্য ও বনবাস
911d89712a	09f0d	বাংলাদেশের সমর্থকরা মনে করেন, শুধু দুর্বল দলগুলোর বিরুদ্ধে জয় নয়, শক্তিশালী দলগুলোর বিরুদ্ধেও তারা জয় দেখতে চান।
911ddd3483	acb88	সেরা চলচ্চিত্রের জাতীয় পুরস্কার পায়
911e7f587f	88654	বিভিন্ন দেশের মধ্যে
911e8a6c2d	9282d	এসব কি সয়
911f1b8551	13b6a	সম্ভব হয়েছে
911f37c24b	ad98d	প্রস্তাবের সমন্বয়ে
91203590d5	38d3a	এবং আধা সামরিক বাহিনী
91204c61bd	e2f12	সেই আশংকায় রয়েছেন
9121ff0935	ac904	পুলিশের সংঘর্ষের ঘটনায়
9122455ce1	66c6b	আরো কয়েকজন এমপি
91226d3e26	c7705	মোদির বাড়ি থেকে
91237df7a1	b8bdd	মানুষ হিসেবেও
9123f6884f	1e7c7	তার বদলে সমস্যাটাকে
91240cc2d9	a3a6d	চলমান সংকট কাটিয়ে
9124b77331	7ec1c	পুলিশসহ নিহত হয়
912641425d	509f6	গোসলখানা ও অযুখানা
91268c8c59	f280a	ইহা হইতে পণ্ডিতগণ
9126b87ce1	086dd	চোঁ-চোঁ করে
9126c0731d	09f0d	কোনো গ্রন্থকে রচয়িতা
9126fbb1eb	49d63	আনুষঙ্গিক আরও কিছু
91273b6825	e43d4	যেদিকে খুশি সেদিকে চলে গেছে
91277c5abf	c1e30	১৫ মিনিটের পথ
912796da32	13b70	বিদ্যা অমূল্য ধন
9127ab5b5f	f1ff2	আনিস মিষ্টি পছন্দ করে।
9127decf3e	717bb	ইচ্ছে ছিল মায়ের
91288a20f0	e9589	চট্টগ্রাম নগরীর
912890f33d	9fa90	একটি বিমানে বিমানবালা হিসেবে
9128bd8669	32b3e	ঘটে গেছে আমার জীবনে
9129450f2d	7df87	সংগ্রহ করা যাবে
9129ec99aa	a4750	অধিকার করে ছিল
912a14fffc	3fc9d	বন্দীর মনে
912a49ae91	2d98b	একটু হিরো হিরো মনে হতো
912a716df8	b8bdd	ঘণ্টাখানেক ধরে
912aa593de	d7a68	১ হাজার ৩৮১ জন
912afb004a	c7705	পদ্ধতি
912b86ec43	80e98	কিছু দিন পর পর
912c34790f	ee4ad	আড়াল করে রেখেছে
912c781b89	09f0d	সুখসেব্য আরামের উপকরণ
912c8c48b5	80539	সব রাজনৈতিক দলের
912d8db2dc	ff1c3	এদিকে ফুকেট উপকূলে
912e086b7f	b9b98	সম্মান করতে শিখিনি
912e087b30	85430	তাঁকে জীবনের শেষ সময়টিতে
912e370062	91230	সংগ্রহণীয়
912eb76184	b618b	আক্ষেপে দেখা যায়
912ed2491b	13b6a	দক্ষিণারঞ্জনের আগ্রহ
912f390d59	086dd	পাওয়া যাইবে
912f4b8277	38d3a	যে তিনি বিবাহিত
912f4db782	9092b	গঠন করা হয়েছে
912f9fa8b4	1f733	তখনো আমার দিঘির জন্য
912fd6e702	a1d4a	চিকিৎসকের দেখা পাবেন
912feee003	f6e55	গোপন রাখতেই
913031a955	4dd57	ভর্তুকি দিতে হচ্ছে
913079551d	e9759	মো. সবুর খান
9130adf3c2	16877	আন্দোলনের এক পর্যায়ে
91312a3dcf	8edea	প্রায় পাঁচ কিলোমিটার এলাকা
913182dd55	2bc73	নাজিম ও মিলনকে
9131cc0a06	e9759	রামেক হাসপাতালে রেফার করেন
9131d32e71	84145	যা সুষ্ঠু ও নিরপেক্ষ হয়েছে
9131d4893c	7ec1c	বন্ধু চাই
9131f5051e	5b13f	বর্তমানে তারা যে মজুরি পান
91321dfaa3	ce180	সেটি ঠিক নয়
91325b9c8e	6e6fa	আলোচনায় আসেন তিনি
913291c6a3	6c17f	প্রভাব ধরে রাখতে পারছে না
913302a9fa	256f5	তাহারা খাঁটী জিনিস দেখায় না
913330587b	a8710	তাদের প্রযোজিত প্রথম তিনটি নাটক
91338505b7	2c9c5	ইন্ডিয়ান
9133d2ae47	948d3	ঝুমার মা জেসমিন বেগম
9134386585	ac904	এমন নারীদের ঈদ উদযাপন
91343e9d6d	e31e7	দৌড় লাগাস
91345ec476	8c07c	দিল্লী এবং অক্সফোর্ড বিশ্ববিদ্যালয়ে
91346d6da3	c7705	হারিছ চৌধুরী
9134a402c6	fdcba	মুম্বাই ছেড়ে
9134b5b5dc	5b13f	শেষ পর্যন্ত আমাদের
