8a0050e129	bd576	আজ আমি তোমার জন্যে
8a00bc6740	420df	শেষ হলে
8a0135e938	287bd	অটো লাইক
8a015a344e	e3d8b	শাপলা চত্বরে তৈরি মঞ্চ থেকে
8a01793514	0895a	খ্রিস্টান,বৌদ্ধের নিরিখ
8a0181c0a2	16e96	কে বা কারা
8a01a44c3f	0d4cb	শান্তি কামনা করছি
8a027a4fe8	da6f0	শিক্ষা ছিল সর্বজনীন
8a02a3f00c	68549	কষ্ট পাইয়াছে
8a03cbd9aa	e55de	বিজ্ঞানী এ ক্যামেরন
8a043b0a15	f4ba7	আঙ্গিনায় আঙ্গিনায় হুলুধ্বনি
8a045ee064	31f09	সরিয়ে নেওয়া হবে
8a04824bfb	92f59	সিরিয়াতে গত ৩০ মাসের সংঘাতে
8a04f082fe	2840e	প্রায় অচেনা
8a054bb59f	d711f	আর মেশিনের চৌম্বক কয়েল
8a05976007	16877	তাকানোর স্পর্ধা পেত না
8a05df94ef	0633a	এই নিয়ে তৃতীয়বার
8a060149f4	32c77	আমি ছাত্র কি না
8a063e0e41	a916a	যার রূপ ও গুণে
8a06c931d5	e50f1	এই চরিত্রটি করেছেন অপূর্ব
8a07003fc1	91dff	তখন সরকার
8a0707d2fd	06bb7	নিশ্চিত করে বলেছে
8a0714fd7c	a8710	স্বরাষ্ট্র প্রতিমন্ত্রীর নেতৃত্বে
8a081450be	5a61c	তাহারা অন্য কোনো দেশ হইতে
8a08331c67	0e637	পাস করা হয়েছে
8a089d3a51	cc18a	অনৈসর্গিক কথা আছে
8a09393f84	80be1	কাতার বাংলাদেশ সংলাপ
8a0943d422	23291	বেরিয়ে এসেছে
8a095e414d	acb88	৮৭তেই তিনি কম্পিউটারে কম্পোজ করে
8a09cc3aa8	06ea3	আলাদা স্টল করেছে
8a09d2bf03	80e98	টমাহক ক্রুজ মিসাইল
8a09ec9be6	a3a6d	কিন্তু সময়টি চিনে নিতে
8a09f8ae6a	ac0df	আমি হলাম কাদামাটি।
8a0a248ac6	ce629	বস্তাবন্দি অবস্থায়
8a0a2f844d	ac0df	গাহিয়া মোটেও অন্যায় করেন নাই
8a0a77e00b	7e1d5	একটি টহল ট্রেন পাঠিয়ে
8a0abcddef	e03ce	অবলম্বন করিয়াই
8a0afa3009	42898	ওজন ৬৫ থেকে ৭৫ গ্রাম
8a0b5d17f2	c3cca	৯০ ডিগ্রি ১৮ মিনিট
8a0b72146e	59c73	প্রথম হাইটেক পার্ক
8a0b7387bd	fbb81	ভেবে পেলেন না
8a0be405c1	e6203	তেমনি পড়াশোনার পাশাপাশি
8a0c1f00eb	8a46d	সুমি এবছর এইচএসসি পরীক্ষায়
8a0c969b12	18a52	বাড়াবাড়ি হয়ে থাকলে
8a0cf3c0cb	4c555	জিরো টু ইনফিনিটি
8a0cf85bc1	c7705	পুলিশ বাহিনী
8a0d05e665	a46e2	এ সময় রাজু ও তার স্বজনরা
8a0d1c713f	4237e	কদিন আগে
8a0d5bbba9	60f77	তবে গাজা থেকে
8a0d9c5f85	37d7e	পাশাপাশি নতুন চাকরি
8a0e034ebf	31f09	নিরালার দিকে আসা
8a0e7bee6a	4c555	এটলেটিকো, বার্সেলোনা আর রিয়ালের মধ্যে
8a0ef1d7d6	85430	সোফার ওপর বসে থাকলাম
8a0ef480f4	e9589	চট্টগ্রাম থেকে সংবাদদাতা বলছেন
8a0f2d09e8	61820	রক্ষিতা
8a0f513499	bd576	বিশেষ প্রতিনিধি
8a0f553650	75936	স্টিফেন হকিং
8a0f7e2210	bdd05	পানি দিয়ে
8a0fb50767	bcaa8	উন্নয়ন অর্থনীতির প্রবৃদ্ধি
8a1050e6a7	14816	সেখানে তিনজন কর্মী
8a1077dfe6	8cf95	বড়রা গলির রাস্তার কিনারে
8a108ce2eb	8632b	১৮ হোল করে
8a112d5e72	4a918	জাকিউর রহমান লকভির বিরুদ্ধেও
8a11a432f7	f2780	খুব চোটপাট করল
8a1225de63	cfc65	এক শতক বিবেচনা করার পর
8a129b42c8	6e6fa	পরীক্ষা করা হবে
8a129ebfbf	db735	হিউম্যান রাইটস ওয়াচ কে
8a12ae5d62	cfc65	কাঁথা মুড়ে
8a138f3f7a	31f09	মি: লিটন বলেন
8a13de6a21	778c0	জাহাজেই থাকার নির্দেশ দিচ্ছিল
8a14097e74	56508	সেখানে প্রচারের জন্যই
8a146542be	57d54	অবরুদ্ধ হয়ে পড়েছে
8a14b92c7a	d5213	এইটা হইল
8a14e0922d	1e7c6	আল্লাহ আমার রব
8a14f45852	06e62	অভিহিত হইয়াছেন
8a1542437e	2ee04	পরিচালকদের মেয়াদ হবে
8a157b1e25	16877	এ উন্নতির তুলনা দিব
8a15a66527	f4ba7	চালিয়ে যেতে পারবো
8a15d39763	8a46d	প্রণব মুখার্জি হতে যাচ্ছেন
8a161a7a2f	d2355	রঙ্গলয়ের লোকেরা
8a167268f7	08458	পেশাজীবী সমন্বয় পরিষদের
8a16ebcdb0	f658d	এসে গেছে
8a173c45d2	b8bdd	লক্ষ্যমাত্রার ৪ দশমিক
8a1761d8ce	18460	বিভিন্ন স্থানে খোঁজাখুঁজি করে
8a18ead70c	64092	হারানোর সতেরো বছর
8a1970f8ab	8c120	গ-ইউনিটে
8a19826a57	43b04	হাশেম মামার শরীর
