db00588c17	9b864	তাকেও রিমান্ডে নিয়েছে পুলিশ
db00810306	e2f12	কিন্তু ব্রিটিশ বাজারের
db00a9e700	e754e	লিখিবার স্থান করিতে
db00c5013e	cb842	তাদের কোথায় পৌঁছোনো হয়েছে
db0100030b	c0965	চিকিৎসকরা জানান, তারা মোটামুটি নিশ্চিত যে লিচুতে যে কীটনাশক ব্যবহার করা হয়, সেই কীটনাশকের বিষক্রিয়ার শিকার হয়েছেন তারা।
db011f667f	bfac7	নির্বাচিত এসব প্রার্থীদের
db017ce3b3	282d3	এতটাই খারাপ অবস্থা যে
db01a80732	3f875	সঙ্গে সম্পর্ক আছেই
db01bc26b2	aabe7	তাদের বাড়ি আসছেন
db01e31655	e3d8b	কাজেই চলে গণগ্রেফতার
db024a8a11	c6848	জোছনা ও জননীর গল্প
db0264f7b4	d41be	ক্রমান্বয়ে বেড়েই চলেছে
db02e1af80	7027a	পাওয়া গেল মাহিকে
db03cf306e	0d9f1	কুস্ক বাইন পরিবারভুক্ত
db03e7228f	11bd2	ডাক্তারকে ডেকে আনলেন
db03ec7377	16cfb	কিন্তু ৬ জুন
db041278d2	7b900	একটি ইসলামপন্থী দল
db045da38d	256f5	জীবিকার্জন করতে হচ্ছে
db046aac61	730c3	দিকমুখিতা বলে
db047f144a	e754e	গাজীপুর জেলার মুক্তিযুদ্ধের ইতিহাস
db0486667a	ca088	সত্যজিৎ রায়ের ফটিকচাঁদের
db0494201d	f29bf	তার আগে বিগত সরকারে
db05198786	693cb	আমাদিগের কাছে নিত্য পরিচিত
db0593f065	ce180	কিছুদিন আগে পাওয়া
db05d6f329	4fc91	এই মেলায় যোগ দিয়া থাকেন
db05dff317	80e98	১০টি মার্কিন মহাকাব্যিক
db05fa9ddf	13b6a	‘বিষাদ-জারি’র আসর
db0641f0cf	12702	প্রস্তাব দুটোর পক্ষে
db06e6a3d4	d41be	প্রতিবারই তিনি
db06e79dc8	eb179	বিএসএফের তিন রক্ষীর বিরুদ্ধে
db07b4f0a0	25696	সংক্ষেপিত রূপ
db07d3826e	6e6fa	আমাদের সবচেয়ে গুরুত্বপূর্ণ চ্যালেঞ্জ হল
db0811c91a	809cd	এবার উপজেলা পরিষদকে
db086c5b55	9d7bf	মৌলবাদী
db086f4820	60b9d	নতুন নতুন ভাবের গান
db09f028d6	d9b11	লিটন হাফিজ
db0a19055a	69d9a	বিগত চল্লিশ বছর
db0a4979e5	3fae0	ওই পার্কে ৪১ টি মারা পড়ে
db0a4a0cd3	3bb15	অন্ধকারের খুঁটি
db0b636b66	c3cca	প্রতিশ্রুতি দিয়ে
db0b671a1f	2695f	মামলার এজাহারে
db0bbfdc4d	4fc91	খনির প্রায় দু কিলোমিটার গভীরে বৈদ্যুতিক ত্রুটির কারণে বায়ু নিষ্কাশনের পথ বন্ধ হয়ে যায়।
db0bddbc3d	fb4cb	লোপার স্কুলের চেয়ারম্যান সাহেব
db0be36389	d3e06	নতুন এই গবেষণার ফলাফলে
db0be75a44	f280a	জেফ লিখেছেন
db0be94d57	5dd61	এটি গঠিত হয়
db0c008eea	68549	আইনশৃঙ্খলা পরিস্থিতির উন্নতির জন্য
db0c1a5ae4	24aed	অর্থ দিয়ে
db0c3fd7c9	46d49	ফল চাহি না বলিয়া
db0ccf830f	46da4	বর্ষবরণের চাঁদ দেখত
db0cf2ece8	ca088	যেমন রসনা নি:স্ব
db0d93b77f	121bd	দয়া করে জাভাস্ক্রিপ্ট চালু করুন
db0d994501	21e54	এদের উদ্দেশ্য ভালো না
db0db794a9	0a7a0	তালিকাভুক্ত শীর্ষ সন্ত্রাসী
db0dbb7c55	f1ea4	নাট্য অভিনেতা
db0df2b84a	eb179	নজরুল ইসলাম হলে
db0e301d3e	f7a7f	নির্ঝর ২০০৮ সালে
db0e7b2913	01e91	নবকুমারের কর্ণে
db0ed51323	0a87a	তা অনেকেরই জানা
db0eeaaec8	06ea3	সর্বব্যাপী উপস্থিতির
db0f034b74	bd576	যাত্রী কম থাকায়
db0f287ff9	d5f7b	ক্ষমতার লোভ দেখিয়েছে
db0f5225cc	25117	উদ্ধার তৎপরতা ব্যাহত হচ্ছে
db0f989a21	730c3	এ দুর্ঘটনার কারণে
db0fea6696	8632b	৮৯ দশমিক ১৮ শতাংশ ছাত্র
db102b706f	93bf3	মিছিলে মিন্টু ছিল
db1052e4f0	10a9f	সফরকালে ভারতের অর্থমন্ত্রী
db11765319	29d44	গণধর্ষিতা এক কিশোরী
db11870feb	4fd66	১ পয়েন্ট কমে
db122b9fa5	09b32	কিন্তু আমরা যখন বলি
db126ece9d	4fd66	জানিয়েছেন ওসি শওকত
db12bf30ce	f280a	না হয়
db13674b47	fdcba	সত্য কাহিনী
db14521e78	d71a3	থাকবে পুরনো পূর্ব পাকিস্তান
db14695ebc	7b103	অ্যাকোমোডেশনের কথা বলেছেন
db1477ee09	7e191	১১ বছর বয়সে
db14a9c5fa	0a7a0	অ্যাডিলেড ওভালের
db14cc9ac5	29bab	সেনাবাহিনীর উদ্ধারকর্মী আবদুর রাজ্জাক
db163cdfbe	ee4ad	সুলতানপুর গ্রামের
db16598249	b08d0	পলাশের সাথে আছেন
db16e20dac	6ee5f	দক্ষিণ আমেরিকা
db1704103d	c958a	কেননা একমাত্র চিন্তাশীল মনই
db176f97d1	7df87	ষড়যন্ত্র
db17905fb8	38ff0	আমার কুনো নাম নাই বইন
db17c95ff5	c8f7f	দূরে কোথাও
db17f50f69	d136b	মেজবাহ আহমেদ
db1885ec5a	2ee04	ওই দিন এখন আছে নাকি
db192e0b67	cc18a	আমরা থামাতে পারছি না
db195d0d35	1652d	৫ কি ৬টি নাইট
db19ffb657	717bb	প্রধান অতিথি ছিলেন
db1b373710	c7a89	এলেন শ্রীনি
db1b375d6d	ac904	শেষ পর্যন্ত দ্বিতীয় লেগে
db1b6e85da	e9fa7	সকাল সোয়া ১১টায়
db1bb170e4	d711f	আয়তনের বনভূমি
db1c008705	7c272	একাত্তরে বাংলাদেশে
db1c4eb410	536d9	হলো সংসদ
db1c67bf85	f143a	তিনি গিয়েছিলেন, মালেয়শিয়া
db1d41e991	86b1b	পাওয়া গেছে
db1db0e06d	f143a	অউব বলা হয়
db1db85fc1	c3cca	বিহারীলাল চক্রবর্তীর
db1e5efc5a	6aac8	দ্বিতীয় স্থানে রয়েছেন
db1fbbcbef	c6848	ব্রিটেনে সিগারেটের চোরাচালান
db20b7caa5	f1240	আমাদের এই
db20e05cf2	b4ea7	পাঠকের ওপর
db21009097	17ca1	ঢাকা ও তার আশেপাশের এলাকায়
db212e8ae2	57d54	শিক্ষা ব্যবস্থার পরিবর্তনকে
db21551eef	355c1	একটি শরণার্থী শিবির ঘুরে এসে
db217badfd	976b1	আমাদের আশাবাদী করে
db21de5442	acb88	কতটা গুরুত্বের সাথে নেয়
db21e2672c	22096	১২ই ফেব্রুয়ারি, ১৯৬১
db21f58311	554fe	আগের মতো চাই চাই
db221baf96	baa02	টাকা ফেরতের সিদ্ধান্ত নেয়
db224042b6	903fa	পারলে প্রতিদিনই একবার করে
db22449121	351dd	ফেরার কথা ছিল
db2260aca0	54cdd	বক্সের ঠিক বাইরে
db2263d369	0bace	এখানকার স্থাপত্যশৈলী
db22f3f62b	bdfc1	নেতৃত্বের আসন থেকে
db234defc3	4a67e	ঘানার জনপ্রিয় কবি
db24774ce6	976b1	বেদের উৎপত্তি সম্বন্ধে
db24b5a05e	53396	প্রথম বাঙালি
db2546d41a	14d25	কৃষি সম্প্রসারণ অধিদপ্তর
db254afbdd	4c555	মাছ-ভাতের বাঙালির
db255fa482	a4750	বিশ্বাস হচ্ছে না
db258141a1	69449	দাবি জানান তারা
db25860e42	c7a89	আমিনুর ইসলাম মুকুল, ইকবাল
db27310a5a	6c6bf	ফলে দিনকে দিন
db278374a8	0d8c1	নিঃসন্দেহে এর একটা
db27908643	88654	আমার আপনার ঘরের
db27a19b56	a43b5	বিক্ষিপ্ত আলোচনা করেছেন
db2806c9db	16e96	ভেরোনার রাজা
db2815c9d8	f83df	নারীর অধিকার ছিল না
db282393cc	0f047	কেন এগুলো লাগানো হয়েছে
db2932451b	c3cca	সাবলীলভাবে হিন্দীতে কথাও বলতে পারে সে।
db29cc8dda	6da0a	বলতে আলোর চেয়ে বেশি
db2ab16f95	6a35e	পুরো নাম
db2ac20c5f	0f047	তদুপরি মেডিকেল কলেজের ছাত্রী
db2b186e87	2c9c5	শনিবার এই প্রস্তাব করেন
db2b899d4e	d2d71	খুব অল্প বয়সেই
db2bd084b2	9092b	কেন বেছে নেয়া হলো
db2bd6c303	1f974	মন্ত্রী সাংবাদিকদের জানান
db2c3a71b5	65652	একশত আশী
db2c49c83c	06e62	অভিযানে অংশ নেন
db2c8eed99	1de6c	বাদশাহ হাসানের পক্ষে গেল
db2c98bc45	ca831	অসংখ্য পরাগ রেণু
db2cb94e9e	0d9f1	বাংলায় নামাজ পড়লে অসুবিধা কি
db2cbea659	33aef	বিভিন্ন দলের রাজনীতিবিদেরা
db2ce7debd	bd576	রুশ শারাপোভার সাফল্য
db2d4a1f07	442b7	মাস্টারকার্ডের মাধ্যমে
db2dd71113	2d78f	ডেফোডিল, বিভিন্ন ফলের
db2e0dbc75	79b06	কান্নায় ভেঙে পড়েন
db2ec1bce5	39293	বন্যেরা বনে সুন্দর
db2ee22dab	03284	সঙ্কলিত হইয়াছিল
db2f2a8169	9fa90	ঝাঁপ দিয়া পড়িলাম
db2f651b10	4237e	ম্যান ইউ একই ব্যবধানে হারালে
db2f783f81	d2294	দেশটির মোট জনসংখ্যা সাড়ে
db30c372e2	fcefa	গন্ধ পাওয়া যায়
db30e73d6e	943de	ক্রিকেটের তথ্য সংগ্রহ করা
db3163a595	3fc9d	নতুন কিছু রাজনৈতিক পরিবার
db317acb85	c8f7f	জিজ্ঞেস করেননি তিনি
db317cf318	c41d8	সংসদ সদস্যদের নিয়ে
db31f700d4	13b70	পৃথিবী অনেক বড় যদি বিশ্বাস কর
db320e288c	f89d7	এসআই আব্দুল আউয়াল
db321f79d9	0606d	ঠিক কে বা কারা দায়ী
db32a29469	68549	চলে যান
db32db38e1	2b883	দেশের বিভিন্ন অঞ্চলে
db330092c1	8cf95	অন্যদিকে ওয়াজ শোনার পর
db336bac11	71522	অস্ত্র খালাসের সাথে
db348b5d18	ee886	ক্রিজে টিকে থাকার
db35ec2607	7d3e1	জমজমাট সাহিত্য আড্ডা
db37b598ee	c8f7f	সাবলীলভাবে হিন্দীতে কথাও বলতে পারে সে।
db385d5a0a	ea5be	সভ্য জগৎ জানে না
db38f5b341	fbb81	আহ্বান জানানো হয়
db3921d869	121bd	তাকে আটক দেখানো হয়
db399af8d6	15a75	ভারতসহ কয়েকটি দেশ
db39b1051b	86b1b	ইসলামকে নিয়ে কটুক্তিকারীদের
db39e4753e	aa820	পরীক্ষা স্থগিত হলো
db3a373bfb	410fa	ইঞ্জিনিয়ার এখলাছ উদ্দিন, পাবনা
db3a4928da	8edea	এই দীর্ঘ সময়ে আমরা
db3a746878	3fb17	না হলে ক্রমে
db3b830949	a1d4a	আমার সুখ
db3b92d802	66c6b	এশিয়ান ক্লিয়ারিং ইউনিয়নের
db3bb5ece3	fb4cb	কাজ শুরু করে
