b1000106d3	1e7c6	মাত্র ৪২ টাকা
b1008cab66	06ea3	বিশ্বকাপ বল ব্রাজুকার
b100b0f067	b8bdd	এবার কলকাতার
b100c20b6c	e6203	দিকেজুগিয়া পালপাড়া এলাকায় পৌঁছালে
b100fd4961	3bea8	বুধবার চট্টগ্রামে যাচ্ছিলেন
b1012a5c1f	e43d4	শিক্ষার্থীরা স্মারক লিপিতে
b1017679e5	6ab59	এমনিতে পাঁচ বছরের জায়গায়
b102128adc	06736	ক্ষতির কোন সম্ভাবনা হলে
b102578050	37e17	৮ মার্চ শহরের চারারগোপ এলাকায় শীতলক্ষ্যা নদীর তীর থেকে ত্বকির লাশ উদ্ধার করা হয়।
b1027d7f9d	64092	তাঁদের সরাফত
b10293005d	2556b	ভর করেছিল
b102a089cc	37e17	আলী তাদের পূর্ব পরিচিত
b102c8d6b3	2f547	বাড়িতে কাজ করেন
b102d17ce7	b78ec	থামেন সাঙ্গাকারা
b10314b98d	d8c80	এসব কথা বিবেচনা করেই
b1032d5774	e6e48	যে মস্তকবিহীন লাশগুলো
b10370b934	976b1	বাতিল হইছিল
b1043e6d4c	ec91c	রিকার্ডো, ভূমি মালিক একদিকে
b104e3412e	ce629	লেলা আজোভির প্রতিবেদন
b105085ae3	9fa90	অনেক রান হওয়ার
b10566d68a	92bb2	দৃষ্টি প্রতিবন্ধী শিক্ষার্থীদের জন্য
b1056c8cb6	6e8cb	বাড়ির বাহির হইলাম
b105f248f8	4c555	নির্দেশ দেন হাইকোর্ট
b106885dfa	e7230	এটাও ঠিক যে
b106930991	68ab7	ছোটলোক নয়
b106dce086	745b7	সুনীল আকাশের দিকে তাকাচ্ছেন
b10777318d	bc81e	ফাঁসি অথবা বেশি পরিমানে
b1078e8a46	bcaa8	তুমি তো বলতে প্রায়ই
b1079d6990	68549	কেবল একটি গ্রুপ একশন
b1081c3e84	13b70	শ্বশুরবাড়ির মাইনষে
b1083b38b8	6ee5f	পিএইচডি সম্পন্ন করেন
b10856002d	1f974	এই পরিবহন মালিক
b108899af1	4ea73	তাতে কি হাতি টানা চলে
b108bdb283	520fb	স্টেডিয়ামে বসছে কৃত্রিম ঘাসে
b108f8cf0a	287bd	শহরের কেন্দ্রস্থলে
